date,predicted_return,actual_return,predicted_direction,actual_direction,p10,p25,p50,p75,p90,direction_correct,within_p10_p90,abs_error
2020-02-01,9.214247686247864,-8.031850219040493,1,-1,-22.04450149744411,-7.147753839590907,9.214247686247864,25.576249212086637,40.47299686993984,False,True,17.24609790528836
2020-03-01,8.87608890379123,-25.127763815543148,1,-1,-22.2224999609414,-7.402078705092256,8.87608890379123,25.154256512674714,39.97467776852386,False,False,34.003852719334375
2020-04-01,8.222168659188647,34.477896223547646,1,1,-23.156011589591564,-8.202347564782244,8.222168659188647,24.646684883159537,39.60034890796886,True,True,26.255727564359
2020-05-01,8.717559745308627,9.268347920493625,1,1,-22.698458421964073,-7.7267622641231775,8.717559745308627,25.16188175474043,40.13357791258133,True,True,0.5507881751849979
2020-06-01,8.727759526330571,-3.4146858566219795,1,-1,-22.390617651124764,-7.560766027493704,8.727759526330571,25.016285080154844,39.8461367037859,False,True,12.14244538295255
2020-07-01,8.506987792095071,23.916341296986676,1,1,-22.3930607676926,-7.6672563759187895,8.506987792095071,24.68123196010893,39.40703635188274,True,True,15.409353504891605
2020-08-01,8.782154818968136,3.155866679660524,1,1,-21.94893399684583,-7.303649483059489,8.782154818968136,24.867959120995764,39.51324363478211,True,True,5.626288139307612
2020-09-01,8.683448009506598,-7.673511599209437,1,-1,-21.786954475271965,-7.265903291119683,8.683448009506598,24.63279931013288,39.153850494285166,False,True,16.356959608716036
2020-10-01,8.401431464528736,27.785306210931697,1,1,-21.92536759378813,-7.472752417558999,8.401431464528736,24.27561534661647,38.7282305228456,True,True,19.38387474640296
2020-11-01,8.72997171446777,42.41232777902142,1,1,-21.507282612109684,-7.097341097100118,8.72997171446777,24.55728452603566,38.96722604104522,True,False,33.682356064553645
2020-12-01,9.291344315543663,47.7731740726012,1,1,-21.200860031136763,-6.669418897171875,9.291344315543663,25.252107528259202,39.78354866222409,True,False,38.48182975705754
2021-01-01,9.922193983692148,14.180671257315613,1,1,-20.96554615789576,-6.245607496670273,9.922193983692148,26.089995464054567,40.80993412528005,True,True,4.258477273623464
2021-02-01,9.990879101008655,36.308750593940786,1,1,-20.650457496318698,-6.047945524154883,9.990879101008655,26.029703726172194,40.63221569833601,True,True,26.31787149293213
2021-03-01,10.408623092959958,30.531110958991945,1,1,-20.279499757007997,-5.654691211320143,10.408623092959958,26.471937397240062,41.09674594292791,True,True,20.12248786603199
2021-04-01,10.723036965866708,-1.9835020649767057,1,-1,-19.890327930077934,-5.301146221854317,10.723036965866708,26.747220153587733,41.33640186181135,False,True,12.706539030843414
2021-05-01,10.527551750007579,-35.35455959448175,1,-1,-19.91262549054346,-5.405978524343356,10.527551750007579,26.46108202435851,40.96772899055861,False,False,45.88211134448933
2021-06-01,9.832368244788043,-6.13941661432399,1,-1,-21.22577308018838,-6.424627605004304,9.832368244788043,26.08936409458039,40.89050956976446,False,True,15.971784859112033
2021-07-01,9.59398339614458,18.79338548528313,1,1,-21.329000992026188,-6.592266244538557,9.59398339614458,25.780233036827717,40.51696778431535,True,True,9.199402089138552
2021-08-01,9.729268720984852,13.31010952575873,1,1,-20.995280430988597,-6.353112475751249,9.729268720984852,25.811649917720953,40.4538178729583,True,True,3.580840804773878
2021-09-01,9.7811649645323,-7.157155076344934,1,-1,-20.721622870102777,-6.185138042659499,9.7811649645323,25.7474679717241,40.28395279916738,False,True,16.938320040877233
2021-10-01,9.539188963948341,40.02672858735883,1,1,-20.852437725345304,-6.368928131228802,9.539188963948341,25.447306059125484,39.930815653241986,True,False,30.48753962341049
