date,predicted_return,actual_return,predicted_direction,actual_direction,p10,p25,p50,p75,p90,direction_correct,within_p10_p90,abs_error
2020-02-01,11.999707101026196,-8.031850219040493,1,-1,-20.57013436854664,-5.048569293203336,11.999707101026196,29.04798349525573,44.56954857059903,False,True,20.03155732006669
2020-03-01,11.133661191438824,-25.127763815543148,1,-1,-22.835733175940646,-6.647193672736369,11.133661191438824,28.914516055614015,45.1030555588183,False,False,36.26142500698197
2020-04-01,5.92035093199692,34.477896223547646,1,1,-25.60474751692589,-10.581067787361112,5.92035093199692,22.42176965135495,37.445449380919726,True,True,28.557545291550724
2020-05-01,6.872269108381944,9.268347920493625,1,1,-24.815279961799533,-9.714182358041175,6.872269108381944,23.45872057480506,38.55981817856342,True,True,2.396078812111681
2020-06-01,11.875554411001987,-3.4146858566219795,1,-1,-19.918094902166168,-4.766433901359472,11.875554411001987,28.517542723363448,43.669203724170146,False,True,15.290240267623966
2020-07-01,11.210761355887902,23.916341296986676,1,1,-20.118827253964625,-5.18832018208178,11.210761355887902,27.609842893857582,42.540349965740425,True,True,12.705579941098774
2020-08-01,11.740160520100352,3.155866679660524,1,1,-19.080088388542677,-4.392313518017483,11.740160520100352,27.872634558218188,42.56040942874338,True,True,8.584293840439827
2020-09-01,11.396788766482757,-7.673511599209437,1,-1,-18.854466435295738,-4.437852628198174,11.396788766482757,27.231430161163686,41.64804396826125,False,True,19.070300365692194
2020-10-01,10.663315675494594,27.785306210931697,1,1,-19.360843081796904,-5.0524549240251755,10.663315675494594,26.379086275014366,40.68747443278609,True,True,17.121990535437103
2020-11-01,10.873832414953343,42.41232777902142,1,1,-22.181529059257457,-6.428583356703873,10.873832414953343,28.176248186610557,43.92919388916414,True,True,31.538495364068076
2020-12-01,16.970360207524195,47.7731740726012,1,1,-20.92116582667289,-2.863485451000841,16.970360207524195,36.80420586604923,54.86188624172128,True,True,30.802813865077006
2021-01-01,18.437160867765957,14.180671257315613,1,1,-19.4838738128941,-1.4121307228920408,18.437160867765957,38.28645245842395,56.35819554842601,True,True,4.256489610450345
