Date,USDT_AG,USDT_AL
2015-12-01,0.0,0.0
2016-01-01,0.0,0.0
2016-02-01,0.0,0.0
2016-03-01,0.0,0.0
2016-04-01,0.0,0.0
2016-05-01,0.0,0.0
2016-06-01,0.0,0.0
2016-07-01,0.0,0.0
2016-08-01,0.0,0.0
2016-09-01,0.0,0.0
2016-10-01,0.0,0.0
2016-11-01,0.0,0.0
2016-12-01,0.0,0.0
2017-01-01,0.0,0.0
2017-02-01,0.0,0.0
2017-03-01,0.0,0.0
2017-04-01,0.0,0.0
2017-05-01,0.0,0.0
2017-06-01,0.0,0.0
2017-07-01,0.0,0.0
2017-08-01,0.0,0.0
2017-09-01,0.0,0.0
2017-10-01,0.0,0.0
2017-11-01,0.0,0.0
2017-12-01,0.0002971376691545759,0.0
2018-01-01,0.00027591354992924903,0.0015704248632703508
2018-02-01,0.0008725600409438242,0.00145825165875104
2018-03-01,0.0009435912014692339,0.0013540908259831086
2018-04-01,0.0008761918299357173,0.0013895816697596709
2018-05-01,0.0008136066992260231,0.0013557547062702804
2018-06-01,0.0008404200388512709,0.0012589150843938318
2018-07-01,0.00080289078947889,0.001168992578365701
2018-08-01,0.0010314691858354307,0.0010854931084824367
2018-09-01,0.0009577928154186143,0.0012329569055258228
2018-10-01,0.0008893790428887133,0.002019033245508493
2018-11-01,0.0010902113403994003,0.001874816585115029
2018-12-01,0.002576548052114646,0.0017409011147496696
2019-01-01,0.0023925089055350283,0.0021331189465452426
2019-02-01,0.002477114979586865,0.001980753307506297
2019-03-01,0.0023001781953306604,0.0025184147659187586
2019-04-01,0.0025280272257335906,0.0023385279969245615
2019-05-01,0.0023474538524669054,0.0023554898212801525
2019-06-01,0.0021797785772906977,0.0029719569841727216
2019-07-01,0.002828576770441547,0.0027596743424460985
2019-08-01,0.002626535572552865,0.002562980494019773
2019-09-01,0.0024649986634136954,0.002379910458732646
2019-10-01,0.002453921502000252,0.002209916854537457
2019-11-01,0.00227864139471452,0.0023889170431154174
2019-12-01,0.002115881295092054,0.002362851177367026
2020-01-01,0.002033960681879302,0.002194076093269381
2020-02-01,0.0022972505860675762,0.002037356372321568
2020-03-01,0.002133161258491321,0.002130479399887152
2020-04-01,0.0021297275745657063,0.0019783022998952123
2020-05-01,0.0019776041763824416,0.0023426424817626127
2020-06-01,0.0019699888637479466,0.002175310875922426
2020-07-01,0.0018462073500710738,0.002019931527642253
2020-08-01,0.0019321903731486212,0.0018756507042392346
2020-09-01,0.0017941767750665769,0.001872175766197523
2020-10-01,0.0016660212911332498,0.0018215888902672589
2020-11-01,0.0015596644699796543,0.0016914753981053117
2020-12-01,0.0014640380659480788,0.0015706557268120752
2021-01-01,0.00137446725896525,0.001458466032039784
2021-02-01,0.0013696489297987866,0.0013542898868940854
2021-03-01,0.0012718168633845876,0.0014071966131563242
2021-04-01,0.0011809728017142598,0.0013074744596400314
2021-05-01,0.001134049318510758,0.0012140834268086005
2021-06-01,0.0010530457957599894,0.0011500044321019526
2021-07-01,0.000981830265069195,0.0010678612583803844
2021-08-01,0.0009300577624407871,0.000991585454210357
2021-09-01,0.000863625065123588,0.0009474778325246423
2021-10-01,0.000817724276388128,0.0008798008444871678
2021-11-01,0.0007593153995032617,0.0008233867137102873
2021-12-01,0.0007050785852530288,0.000771504545709148
2022-01-01,0.0006758584481602831,0.0007163970781584947
2022-02-01,0.0006275828447202629,0.0006747966612511078
2022-03-01,0.0005827554986688156,0.0006299517897391006
2022-04-01,0.0005411301059067573,0.000595598919896199
2022-05-01,0.0005024779554848462,0.0006078413234014509
2022-06-01,0.00046658667295021433,0.0006050659388031958
2022-07-01,0.0005410412811061839,0.0005618469431743961
2022-08-01,0.0005023954753128851,0.0005439986408586817
2022-09-01,0.00046886872516236234,0.0005051415950830617
2022-10-01,0.0004353781019364793,0.0004763445916636068
2022-11-01,0.000409137444633068,0.00044231997797334916
2022-12-01,0.0003799133414449917,0.0004350827061723964
2023-01-01,0.00038441396815077283,0.00040400537001722517
2023-02-01,0.00035960397678645283,0.0003751478435874233
2023-03-01,0.0003339179784445633,0.00035049733625737857
2023-04-01,0.00033249507060400575,0.00032546181223899436
2023-05-01,0.00030874542270371966,0.00030963957568537194
2023-06-01,0.00028669217822488256,0.0003055997004018674
2023-07-01,0.0002662141654945338,0.0002959092105342082
2023-08-01,0.00024719886795920994,0.00027941774317104696
2023-09-01,0.00025554646098270106,0.0002594593329445436
2023-10-01,0.00024478629768427153,0.0002409265234485048
2023-11-01,0.000227301562135395,0.00023506791341441097
2023-12-01,0.00021106573626858107,0.0002487097768029882
2024-01-01,0.00021727698538346476,0.00023094479274563188
2024-02-01,0.0002284685965218459,0.00021444873612094388
2024-03-01,0.00021214941105599978,0.00022498235518917444
2024-04-01,0.00019699588169485696,0.00027162904568896765
2024-05-01,0.00018292474728808148,0.00026415641490123027
2024-06-01,0.00016985869391036138,0.00028714759008197386
2024-07-01,0.00025229721394503217,0.00026663704793326143
2024-08-01,0.0002450644250818756,0.0002475915445094571
2024-09-01,0.00022755982329031305,0.000234908966873859
2024-10-01,0.00021130555019814782,0.00030319835547266055
2024-11-01,0.0003395699822466339,0.00028154133008175626
2024-12-01,0.00031531498351473154,0.00044371926869756834
2025-01-01,0.0004137217939922647,0.0004120250352191706
2025-02-01,0.00038417023727853154,0.00039988002254552174
2025-03-01,0.0003738019792978733,0.0003713171637922702
2025-04-01,0.0003754566189340325,0.00034479450923567944
2025-05-01,0.0003634287558637235,0.00032016633000455947
2025-06-01,0.00033746955901631465,0.00030593997992523685
