Date,RSI_GLD
2015-12-01,35.61323680830097
2016-01-01,42.71175248433334
2016-02-01,54.27227911958482
2016-03-01,53.281764787069406
2016-04-01,58.217343297566195
2016-05-01,50.903416230258074
2016-06-01,58.58796509625373
2016-07-01,60.20529624396388
2016-08-01,56.24679277255499
2016-09-01,56.87209384599485
2016-10-01,53.34009650761443
2016-11-01,45.04332391563245
2016-12-01,43.51260816789966
2017-01-01,48.72162793481071
2017-02-01,51.69366670729404
2017-03-01,51.25033805567674
2017-04-01,52.9953362863183
2017-05-01,52.84628243454717
2017-06-01,50.2100617108408
2017-07-01,52.86864778301848
2017-08-01,57.41625006357722
2017-09-01,52.825743800127334
2017-10-01,51.867267640049256
2017-11-01,52.307614644229645
2017-12-01,54.94030279487493
2018-01-01,58.78376541787845
2018-02-01,55.4116217437421
2018-03-01,56.217948242394506
2018-04-01,54.60268523113622
2018-05-01,52.58247436880083
2018-06-01,46.99065711170132
2018-07-01,43.97991510048607
2018-08-01,41.32168007029017
2018-09-01,40.52396835203083
2018-10-01,44.21945760684754
2018-11-01,44.82194390836158
2018-12-01,52.851461814500205
2019-01-01,56.98359122374108
2019-02-01,55.839195344303114
2019-03-01,52.860722221379994
2019-04-01,51.6470312329432
2019-05-01,54.599039424913066
2019-06-01,65.20092544838722
2019-07-01,65.20979837091257
2019-08-01,73.01274751037454
2019-09-01,65.66886156346098
2019-10-01,68.18306115863923
2019-11-01,61.91467721578596
2019-12-01,65.66380665678518
2020-01-01,69.75452383640771
2020-02-01,68.45686742850734
2020-03-01,67.983747479236
2020-04-01,74.23145781815653
2020-05-01,76.14789752949596
2020-06-01,78.05517652973883
2020-07-01,83.72894507928808
2020-08-01,82.96153425827607
2020-09-01,73.62334520878142
2020-10-01,72.57360585548149
2020-11-01,62.61428106061906
2020-12-01,68.35160447517723
2021-01-01,63.21297010016677
2021-02-01,54.869099607975684
2021-03-01,53.564817982449696
2021-04-01,56.95958315964505
2021-05-01,63.3915165437543
2021-06-01,54.58601365916539
2021-07-01,56.713955239240065
2021-08-01,56.625298724688705
2021-09-01,52.87969280019823
2021-10-01,54.32510384994583
2021-11-01,53.48888101265306
2021-12-01,56.88245852486996
2022-01-01,54.62625942530996
2022-02-01,60.65233988408229
2022-03-01,61.855853336942246
2022-04-01,58.67171298680421
2022-05-01,54.0490737101756
2022-06-01,51.99977685944628
2022-07-01,48.76067956630109
2022-08-01,45.387754889865526
2022-09-01,42.3809620979998
2022-10-01,40.641292384670514
2022-11-01,50.805596694743016
2022-12-01,53.98287445729655
2023-01-01,59.658613828140865
2023-02-01,52.75209631646097
2023-03-01,59.75468769247382
2023-04-01,60.49593135549851
2023-05-01,58.66936642257093
2023-06-01,55.711083835679545
2023-07-01,58.00819740858229
2023-08-01,56.215031547749774
2023-09-01,50.08266461452502
2023-10-01,57.454561065400725
2023-11-01,59.81101399466851
2023-12-01,61.01848830642981
2024-01-01,58.877287539391595
2024-02-01,59.36283721550961
2024-03-01,67.29748526074121
2024-04-01,69.68635841812265
2024-05-01,70.96046770472901
2024-06-01,70.68993082329847
2024-07-01,74.80603657474585
2024-08-01,76.2795324539133
2024-09-01,79.48765915837515
2024-10-01,81.83649253991365
2024-11-01,74.84170894574335
2024-12-01,71.94847535281303
2025-01-01,76.57866229939246
2025-02-01,77.71428996406667
2025-03-01,82.53084878970841
2025-04-01,84.76010096564151
2025-05-01,84.63360929304527
2025-06-01,84.81025319241128
2025-07-01,83.24348776215034
2025-08-01,85.56412779936221
2025-09-01,89.45640761863902
2025-10-01,90.39931041149805
