Date,TLT_AG,TLT_AL
2015-12-01,1.6198551800786232,1.2136365929428412
2016-01-01,1.9011282545484536,1.1269482648754954
2016-02-01,1.9674856314208298,1.0464519602415314
2016-03-01,1.826950943462199,0.978424708407873
2016-04-01,1.6964544475006136,0.9627244589373329
2016-05-01,1.6331557167360609,0.8939584261560949
2016-06-01,2.0148701364530166,0.830104252859231
2016-07-01,2.0343299652247877,0.7708110919407145
2016-08-01,1.8890206819944457,0.7952378238989112
2016-09-01,1.7540906332805568,0.8556547746402278
2016-10-01,1.6287984451890885,1.1298059594734036
2016-11-01,1.5124556991041536,1.6512102657652028
2016-12-01,1.4044231491681425,1.5825939807384473
2017-01-01,1.3896779540475943,1.469551553542844
2017-02-01,1.3826677018890607,1.364583585432641
2017-03-01,1.2839057231826991,1.3103801706737805
2017-04-01,1.2979339503353857,1.216781587054225
2017-05-01,1.3358832133694654,1.1298686165503518
2017-06-01,1.2960044310738226,1.0491637153681839
2017-07-01,1.203432685997121,1.020572021762086
2017-08-01,1.3570209379180855,0.9476740202076511
2017-09-01,1.2600908709239367,1.0485125292622943
2017-10-01,1.1700843801436556,0.9761163139676103
2017-11-01,1.1387437539043208,0.9063937201127811
2017-12-01,1.172527573205519,0.8416513115332968
2018-01-01,1.088775603690839,0.9894049340214318
2018-02-01,1.0110059177129218,1.148274931584354
2018-03-01,1.135101525118193,1.0662552936140428
2018-04-01,1.0540228447526079,1.1380363355252607
2018-05-01,1.1165114647981806,1.056748025844885
2018-06-01,1.0813533670056767,0.9812660239988217
2018-07-01,1.0041138407909855,1.0124885035206692
2018-08-01,1.0241479717919642,0.9401678961263357
2018-09-01,0.9509945452353953,1.0756339614072112
2018-10-01,0.883066363432867,1.1999012700022875
2018-11-01,0.9377973104435215,1.1141940364306955
2018-12-01,1.251684242231038,1.0346087481142172
2019-01-01,1.2231880411258074,0.960708123248916
2019-02-01,1.1358174667596783,1.0076076816538484
2019-03-01,1.4519513108611075,0.9356357043928593
2019-04-01,1.348240502942457,1.0189548817227778
2019-05-01,1.7559474016580625,0.9461723901711508
2019-06-01,1.705583840392866,0.8785886480160687
2019-07-01,1.6048342604847818,0.815832316014921
2019-08-01,2.3691846959105343,0.7575585791567123
2019-09-01,2.1999572176312103,0.9383470454264895
2019-10-01,2.0428174163718382,0.9669223846412827
2019-11-01,1.8969018866309926,0.9324421803044611
2019-12-01,1.761408894728779,1.1496074125776359
2020-01-01,2.294613443891567,1.067492597393519
2020-02-01,2.701292557378944,0.9912431261511248
2020-03-01,3.110693596458461,0.9204400457117587
2020-04-01,3.010967147813549,0.8546943281609188
2020-05-01,2.7958980658268664,0.9708733884262104
2020-06-01,2.6298519497968225,0.9015252892529096
2020-07-01,2.886632326359884,0.8371306257348446
2020-08-01,2.6804443030484637,1.3037561743012174
2020-09-01,2.565505732922792,1.210630733279702
2020-10-01,2.382255323428307,1.4615463742619552
2020-11-01,2.372386718085772,1.3571502046718156
2020-12-01,2.202930523936788,1.3902997104904582
2021-01-01,2.0455783436555888,1.6235949529889078
2021-02-01,1.8994656048230467,2.0540629195164857
2021-03-01,1.763789490192829,2.369663104917931
2021-04-01,1.8446047149446805,2.20040145456665
2021-05-01,1.7128472353057747,2.043883870200282
2021-06-01,1.9686121623109984,1.8978921651859761
2021-07-01,2.161106182316128,1.7623284391012637
2021-08-01,2.006741455007833,1.6671703181721556
2021-09-01,1.8634027796501307,1.8169127999796133
2021-10-01,1.9512433072476658,1.687133314266784
2021-11-01,2.0663439701507342,1.5666237918191563
2021-12-01,1.9187479722828247,1.6546449265273862
2022-01-01,1.7816945456911941,1.8772174603747604
2022-02-01,1.6544306495703947,1.9005946625633936
2022-03-01,1.536257031743938,2.2401017690111535
2022-04-01,1.426524386619371,2.860481833257288
2022-05-01,1.3246297875751303,2.8260497899917003
2022-06-01,1.2300133741769066,2.7179641587171814
2022-07-01,1.3162008387655537,2.523823861665954
2022-08-01,1.2221864931394428,2.6790816909526494
2022-09-01,1.1348874579151969,3.0709505027526274
2022-10-01,1.0538240680641113,3.2394982015654974
2022-11-01,1.4134138746211948,3.008105472882247
2022-12-01,1.3124557407196809,2.978958787668002
2023-01-01,1.7358668654408755,2.7661760171202876
2023-02-01,1.6118763750522416,2.9177894035927223
2023-03-01,1.8122766674592243,2.7093758747646706
2023-04-01,1.7054178813628067,2.5158490265671944
2023-05-01,1.5836023184083206,2.5424062058218815
2023-06-01,1.4840076991595677,2.36080576254889
2023-07-01,1.3780071492195987,2.3617046507778197
2023-08-01,1.2795780671324846,2.3969424524730982
2023-09-01,1.1881796337658785,2.726217288805935
2023-10-01,1.1033096599254586,2.8479749310187366
2023-11-01,1.5647419786152137,2.6445481502316843
2023-12-01,1.954921279947386,2.4556518537865637
2024-01-01,1.81528404566543,2.3855604973567757
2024-02-01,1.6856208995464708,2.3792852192601424
2024-03-01,1.614484587037013,2.209336275027275
2024-04-01,1.499164259391512,2.4580250413757736
2024-05-01,1.5605266851646071,2.282451824134647
2024-06-01,1.5594180503914097,2.1194195509821725
2024-07-01,1.672925979130193,1.9680324401977316
2024-08-01,1.6871173320090074,1.8274586944693223
2024-09-01,1.6973517054062435,1.6969259305786564
2024-10-01,1.576112297877226,1.937970942059366
2024-11-01,1.587437484956866,1.7995444461979828
2024-12-01,1.4740490931742325,2.103509393679377
2025-01-01,1.4424124121676467,1.9532587227022786
2025-02-01,1.6611286904140425,1.8137402425092586
2025-03-01,1.5424766410987538,1.7582655192022358
2025-04-01,1.4322997381631286,1.721066020272054
