Date,NDX_AG,NDX_AL
2015-12-01,2.2732245386863243,1.399291758634606
2016-01-01,2.110851357351587,1.7908927928602034
2016-02-01,1.9600762603979018,1.7714030139896086
2016-03-01,2.2657620581694244,1.644874227276065
2016-04-01,2.1039219111573226,1.7380155352608104
2016-05-01,2.261880757800382,1.6138715684564668
2016-06-01,2.1003178465289265,1.6854051126041074
2016-07-01,2.4838355964350636,1.5650190331323854
2016-08-01,2.3873633743543223,1.453231959337215
2016-09-01,2.369358824944527,1.3494296765274139
2016-10-01,2.200118908877061,1.3491634942754556
2016-11-01,2.0771712238400832,1.2527946732557802
2016-12-01,1.9945241799845974,1.163309339451796
2017-01-01,2.285180529537874,1.080215815205239
2017-02-01,2.4885315872076013,1.003057542690579
2017-03-01,2.469518148465931,0.9314105753555377
2017-04-01,2.554962090532818,0.8648812485444279
2017-05-01,2.729695938488621,0.8031040165055402
2017-06-01,2.5347176571680055,0.9917558100391847
2017-07-01,2.7567447476437286,0.9209161093221
2017-08-01,2.7605594189894886,0.8551363872276643
2017-09-01,2.563376603347382,0.8447416442365141
2017-10-01,2.8556102621903148,0.7844029553624774
2017-11-01,2.8548361248100913,0.7283741728365862
2017-12-01,2.69223569987946,0.6763474462054014
2018-01-01,3.4478145760180925,0.6280369143335871
2018-02-01,3.2015421063025147,0.7318217183041791
2018-03-01,2.9728605272809068,1.1601068613326753
2018-04-01,2.8332127573356187,1.0772420855231986
2018-05-01,3.2515494280588557,1.0002962222715415
2018-06-01,3.1267112330021964,0.9288464921092885
2018-07-01,3.2553786313284903,0.8625003141014822
2018-08-01,3.71778370642054,0.8008931488085193
2018-09-01,3.4522277273905013,0.8022758856681786
2018-10-01,3.2056400325768943,1.812198510045675
2018-11-01,2.9766657445356874,1.7134684319704259
2018-12-01,2.7640467627831384,2.6223877749295696
2019-01-01,3.5481746045737403,2.4350743624346007
2019-02-01,3.639030697969143,2.261140479403558
2019-03-01,3.8219633981839585,2.0996304451604466
2019-04-01,4.2488474300101045,1.9496568419347005
2019-05-01,3.9453583278665256,2.879452558582222
2019-06-01,4.5406004157756135,2.6737773758263486
2019-07-01,4.5442224284880695,2.482793277553038
2019-08-01,4.219635112167493,2.5549212026217942
2019-09-01,4.01032266588823,2.372426831005952
2019-10-01,4.31954147449108,2.202967771648384
2019-11-01,4.563283768723861,2.0456129308163566
2019-12-01,4.754498885969032,1.8994977214723312
2020-01-01,4.892459222936646,1.763819312795736
2020-02-01,4.542997849869742,2.5536309512372237
2020-03-01,4.218498003450475,3.4340262868212834
2020-04-01,5.916922767643186,3.1887386949054775
2020-05-01,6.493643468043115,2.960971645269372
2020-06-01,7.014650004993719,2.7494736706072738
2020-07-01,7.803584873149859,2.553082694135326
2020-08-01,9.261545014744067,2.370719644554231
2020-09-01,8.60000608511949,3.381917979792545
2020-10-01,7.9857199361823845,3.7264621161410685
2020-11-01,9.510336568112438,3.4602862507024206
2020-12-01,9.80926560021713,3.2131229470808194
2021-01-01,9.20491724819269,2.983614165146475
2021-02-01,8.547423159036068,2.7996475143994055
2021-03-01,8.283221668742197,2.599672691942305
2021-04-01,9.030181665338736,2.4139817853749976
2021-05-01,8.385168689243113,2.5236982440647298
2021-06-01,9.210836571652086,2.3434340837743917
2021-07-01,9.286972059279616,2.176045934933364
2021-08-01,9.693667832947144,2.0206140824381236
2021-09-01,9.001262987736634,3.40622224926174
2021-10-01,10.346612140258795,3.162920660028759
2021-11-01,10.144577518912184,2.9369977557409905
2021-12-01,9.70065462344859,2.7272122017594915
2022-01-01,9.007750721773691,4.923969296165063
2022-02-01,8.364339955932714,5.7055383663887635
2022-03-01,8.864600027439751,5.297999911646708
2022-04-01,8.231414311194055,8.330048031099398
2022-05-01,7.643456146108766,8.08207959960904
2022-06-01,7.097494992815283,9.459920820312188
2022-07-01,9.089353958172227,8.784212190289889
2022-08-01,8.440114389731354,9.289428374521416
2022-09-01,7.8372490761791145,10.865325615348011
2022-10-01,8.060267226011186,10.089230928537438
2022-11-01,8.564561841703467,9.368571576499049
2022-12-01,7.952807424438935,10.597319672597331
2023-01-01,9.42042262026584,9.840368267411808
2023-02-01,8.747535290246853,9.211949890191546
2023-03-01,10.045560723616498,8.553953469463577
2023-04-01,9.477615660071347,7.942956793073321
2023-05-01,10.589967192164465,7.375602736425227
2023-06-01,11.34141231948196,6.848773969537711
2023-07-01,11.571714533129454,6.359575828856445
2023-08-01,10.745163495048777,6.3062320161646905
2023-09-01,9.977651816831008,7.245243484876141
2023-10-01,9.26496240134308,7.213339234840346
2023-11-01,11.281685406436878,6.698100718066035
2023-12-01,11.935759356200316,6.21966495248989
2024-01-01,11.683161083966143,5.775403170169184
2024-02-01,12.407038424229722,5.362874372299957
2024-03-01,11.875226388347242,4.979811917135675
2024-04-01,11.026995932036725,5.958158655894957
2024-05-01,12.089512056868923,5.532575894759603
2024-06-01,13.237626656741009,5.137391902276774
2024-07-01,12.292081895545223,5.286895211572853
2024-08-01,11.782989968854492,4.909259839317649
2024-09-01,11.77850603134703,4.558598422223531
2024-10-01,10.9371841719651,4.484135197868278
2024-11-01,11.99531219986045,4.163839826591973
2024-12-01,11.24436530444631,3.8664226961211177
2025-01-01,11.286783948297243,3.590249646398181
2025-02-01,10.48058509484744,4.338570524752552
2025-03-01,9.731971873786907,6.821691516148576
2025-04-01,9.553380272311058,6.334427836423678
2025-05-01,11.981037994210713,5.881968705250558
2025-06-01,13.443526107626466,5.461828083446947
2025-07-01,13.481321117796004,5.0716975060578795
2025-08-01,12.902925970989147,4.709433398482317
