Date,RSI_NDX
2015-12-01,61.89828321101318
2016-01-01,54.10019919519859
2016-02-01,52.528129362841796
2016-03-01,57.93845023639969
2016-04-01,54.762003299112145
2016-05-01,58.35978585310886
2016-06-01,55.479966949560385
2016-07-01,61.34662327208372
2016-08-01,62.16128404394053
2016-09-01,63.71319111067237
2016-10-01,61.98771072493099
2016-11-01,62.37815305110572
2016-12-01,63.161156777529484
2017-01-01,67.9022705039607
2017-02-01,71.27217706970495
2017-03-01,72.61305216920411
2017-04-01,74.7099161338252
2017-05-01,77.26720938811641
2017-06-01,71.87683902171506
2017-07-01,74.95918886653727
2017-08-01,76.34932712654461
2017-09-01,75.21383992954547
2017-10-01,78.45054650955808
2017-11-01,79.67258094466418
2017-12-01,79.92190137887833
2018-01-01,84.59127090817046
2018-02-01,81.39450732408778
2018-03-01,71.9304133749326
2018-04-01,72.45225609776742
2018-05-01,76.47383502282564
2018-06-01,77.09694806319752
2018-07-01,79.05474333919685
2018-08-01,82.27593664101656
2018-09-01,81.14290270654159
2018-10-01,63.88487802761125
2018-11-01,63.46653704378957
2018-12-01,51.31496063733584
2019-01-01,59.30180449014222
2019-02-01,61.67669697321518
2019-03-01,64.54281565561385
2019-04-01,68.54633381864255
2019-05-01,57.80904985514508
2019-06-01,62.93821237170568
2019-07-01,64.66788489716073
2019-08-01,62.28651613620454
2019-09-01,62.83064481599404
2019-10-01,66.2251491179982
2019-11-01,69.04758806475715
2019-12-01,71.45328088463306
2020-01-01,73.5014196998043
2020-02-01,64.01628121173681
2020-03-01,55.125574822587936
2020-04-01,64.98070230240086
2020-05-01,68.68226141643564
2020-06-01,71.8410605810148
2020-07-01,75.3484151388614
2020-08-01,79.61944888642826
2020-09-01,71.77483381240764
2020-10-01,68.18302431183764
2020-11-01,73.32212724833062
2020-12-01,75.32616282020305
2021-01-01,75.5211348769943
2021-02-01,75.32713424484405
2021-03-01,76.11230426591412
2021-04-01,78.90643736633763
2021-05-01,76.86562445491779
2021-06-01,79.71802674819813
2021-07-01,81.01681480364138
2021-08-01,82.75084979998394
2021-09-01,72.54703766155134
2021-10-01,76.58749042778567
2021-11-01,77.54859262682447
2021-12-01,78.0556692462479
2022-01-01,64.65641507419856
2022-02-01,59.44855928613766
2022-03-01,62.59161499700987
2022-04-01,49.70221917042477
2022-05-01,48.60537834579113
2022-06-01,42.865958510192556
2022-07-01,50.85361187954256
2022-08-01,47.604805729952346
2022-09-01,41.9046532653584
2022-10-01,44.410413761171256
2022-11-01,47.75831218101714
2022-12-01,42.87198347934525
2023-01-01,48.909843189734666
2023-02-01,48.70704924089211
2023-03-01,54.00980165037824
2023-04-01,54.40473144934166
2023-05-01,58.945901712319255
2023-06-01,62.349071852706054
2023-07-01,64.53364091220863
2023-08-01,63.01632900358485
2023-09-01,57.93248836530995
2023-10-01,56.225226397111626
2023-11-01,62.74649391441959
2023-12-01,65.74211185186783
2024-01-01,66.91936927859808
2024-02-01,69.82048007941106
2024-03-01,70.4550542877393
2024-04-01,64.92137516294167
2024-05-01,68.60431119203264
2024-06-01,72.04143285202
2024-07-01,69.92489847755655
2024-08-01,70.58958561167597
2024-09-01,72.09665620257924
2024-10-01,70.92249313868709
2024-11-01,74.23231231579607
2024-12-01,74.41283210395163
2025-01-01,75.86716717720981
2025-02-01,70.72322717892033
2025-03-01,58.790441997895655
2025-04-01,60.13025967413868
2025-05-01,67.07178805778564
2025-06-01,71.1096230821961
2025-07-01,72.66376103596897
2025-08-01,73.26063306063665
2025-09-01,76.35241385155547
2025-10-01,78.928875379657
