Date,RSI_USDT
2015-12-01,100.0
2016-01-01,100.0
2016-02-01,100.0
2016-03-01,100.0
2016-04-01,100.0
2016-05-01,100.0
2016-06-01,100.0
2016-07-01,100.0
2016-08-01,100.0
2016-09-01,100.0
2016-10-01,100.0
2016-11-01,100.0
2016-12-01,100.0
2017-01-01,100.0
2017-02-01,100.0
2017-03-01,100.0
2017-04-01,100.0
2017-05-01,100.0
2017-06-01,100.0
2017-07-01,100.0
2017-08-01,100.0
2017-09-01,100.0
2017-10-01,100.0
2017-11-01,100.0
2017-12-01,100.0
2018-01-01,14.943823296786988
2018-02-01,37.435887294458595
2018-03-01,41.067092408582
2018-04-01,38.670759899588944
2018-05-01,37.50443320161711
2018-06-01,40.03267651484673
2018-07-01,40.71695124425674
2018-08-01,48.72402255836083
2018-09-01,43.719864768747186
2018-10-01,30.57953806744642
2018-11-01,36.7690075030322
2018-12-01,59.677553864193975
2019-01-01,52.86578975854757
2019-02-01,55.56725367500965
2019-03-01,47.73547410682816
2019-04-01,51.94695446921819
2019-05-01,49.91456447949711
2019-06-01,42.311538534627395
2019-07-01,50.6164936632549
2019-08-01,50.612341090361696
2019-09-01,50.87811971840821
2019-10-01,52.61592093045799
2019-11-01,48.81870093465646
2019-12-01,47.24285962832502
2020-01-01,48.106504035972485
2020-02-01,52.99789826668152
2020-03-01,50.031450335746506
2020-04-01,51.843040086099236
2020-05-01,45.77526083271245
2020-06-01,47.52343587835694
2020-07-01,47.75325999574632
2020-08-01,50.74241109017307
2020-09-01,48.93628626471292
2020-10-01,47.7697106178372
2020-11-01,47.972850546671516
2020-12-01,48.24335389095346
2021-01-01,48.517459388450085
2021-02-01,50.28192709047975
2021-03-01,47.473328317360014
2021-04-01,47.45822103826855
2021-05-01,48.2957925088056
2021-06-01,47.79944562507634
2021-07-01,47.901367295347896
2021-08-01,48.39908648919766
2021-09-01,47.685035800286684
2021-10-01,48.17155671702133
2021-11-01,47.97588839769305
2021-12-01,47.7506867353674
2022-01-01,48.544138298183
2022-02-01,48.18740173987801
2022-03-01,48.054093864140704
2022-04-01,47.604142554952084
2022-05-01,45.25526711459567
2022-06-01,43.538985286173784
2022-07-01,49.056764701527946
2022-08-01,48.012069979043375
2022-09-01,48.13796275220371
2022-10-01,47.75334704210528
2022-11-01,48.051427325707884
2022-12-01,46.61535998311339
2023-01-01,48.75755191951686
2023-02-01,48.94223693157636
2023-03-01,48.788794065776024
2023-04-01,50.534477148002544
2023-05-01,49.92770256523188
2023-06-01,48.40386785136894
2023-07-01,47.35867192986508
2023-08-01,46.94095528598244
2023-09-01,49.620113792118296
2023-10-01,50.39733089881846
2023-11-01,49.16015744013151
2023-12-01,45.906258656216494
2024-01-01,48.47532984461205
2024-02-01,51.58267235978874
2024-03-01,48.53214235110323
2024-04-01,42.037004474904634
2024-05-01,40.91533322323787
2024-06-01,37.16769328126135
2024-07-01,48.61833809774614
2024-08-01,49.74352087627419
2024-09-01,49.20544437377741
2024-10-01,41.06976601521584
2024-11-01,54.671356889906164
2024-12-01,41.541601396209295
2025-01-01,50.102740859127145
2025-02-01,48.99816465397795
2025-03-01,50.166739475736605
2025-04-01,52.12857075116779
2025-05-01,53.164331250583324
2025-06-01,52.450195185398236
2025-07-01,50.66903489547836
2025-08-01,51.29264954214774
2025-09-01,51.523461116765425
2025-10-01,47.992804385997545
