Date,SPX_AG,SPX_AL
2015-12-01,29.541166344467477,24.97494818239796
2016-01-01,27.431083034148372,30.598162681646322
2016-02-01,25.471719960280634,28.984723187644796
2016-03-01,32.760169232090945,26.91438581709874
2016-04-01,30.817304186495164,24.991929687305973
2016-05-01,30.87677548344194,23.206791852498405
2016-06-01,28.8077312524818,21.549163863034234
2016-07-01,32.088606894045604,20.009937872817506
2016-08-01,29.79656354447092,18.76995277364304
2016-09-01,27.66823757700871,17.62066554985604
2016-10-01,25.69193489293666,19.370626381116324
2016-11-01,29.046807847012616,17.987010211036587
2016-12-01,29.830608681601,16.702223767391114
2017-01-01,30.55985370880807,15.509207784006035
2017-02-01,34.431990971794995,14.401407228005604
2017-03-01,31.97256304523821,13.438443988505204
2017-04-01,31.223092861203337,12.478555132183404
2017-05-01,30.964307489420953,11.587229765598876
2017-06-01,29.581847188837315,10.759570496627529
2017-07-01,30.818153583831077,9.991029746868419
2017-08-01,28.713275007530644,9.277384764949247
2017-09-01,30.07019858400167,8.614714424595729
2017-10-01,31.915177423983693,7.999377679981748
2017-11-01,34.80124106222593,7.427993559983052
2017-12-01,34.174725936129434,6.897422591412834
2018-01-01,42.46224202439698,6.40474954916906
2018-02-01,39.42922473694005,13.802980329139128
2018-03-01,36.612851541444336,18.028478944022048
2018-04-01,34.510500119957236,16.740730448020475
2018-05-01,36.13260516161208,15.544963987447584
2018-06-01,34.487426054086214,14.434609416915615
2018-07-01,39.018318612722915,13.403565887135928
2018-08-01,42.31915160243914,12.446168323769076
2018-09-01,40.186352269229204,11.557156300642713
2018-10-01,37.31589853571283,25.177358724480737
2018-11-01,38.10975804320656,23.3789759584464
2018-12-01,35.387632468691805,39.803322262753795
2019-01-01,46.949230149499535,36.960227815414235
2019-02-01,49.337848894401354,34.32021154288465
2019-03-01,49.37871055261376,31.86876786125003
2019-04-01,53.81095806894492,29.592427299732172
2019-05-01,49.96731820687743,41.31939817341202
2019-06-01,59.94822056152011,38.36801258959688
2019-07-01,58.424767167616885,35.627440261768534
2019-08-01,54.25156951278711,36.934046091285076
2019-09-01,53.967888068793386,34.29589994190757
2019-10-01,54.45732951812064,31.846192803199887
2019-11-01,57.95465754361202,29.571464745828468
2019-12-01,60.22932834964866,27.45921726398358
2020-01-01,55.927233467530904,25.873559585529396
2020-02-01,51.932431076992984,43.40402310285765
2020-03-01,48.22297171435063,66.70587022497496
2020-04-01,68.19560543118273,61.94116520890532
2020-05-01,72.74449982560718,57.51679626541208
2020-06-01,71.54703415726024,53.408453675025505
2020-07-01,78.63868015495594,49.5935641268094
2020-08-01,89.39234167290552,46.05116668918016
2020-09-01,83.00717441055512,52.569658968078
2020-10-01,77.07809052408689,55.46040040339386
2020-11-01,96.69179276343782,51.49894323172287
2020-12-01,99.38810653368333,47.82044728659981
2021-01-01,92.28895606699166,47.39256377505696
2021-02-01,92.61902435573333,44.00738064826718
2021-03-01,97.55623620420774,40.8639963162481
2021-04-01,105.46507856796968,37.945139436516094
2021-05-01,99.57042591356114,35.2347723339078
2021-06-01,99.12897668536034,32.718002881485816
2021-07-01,99.03117589533461,30.3810026756654
2021-08-01,101.05897834254286,28.210931055975013
2021-09-01,93.84047988950408,41.56301717474465
2021-10-01,108.41186302239664,38.59423023369146
2021-11-01,100.66815852079688,38.57891970360635
2021-12-01,107.70473118225782,35.82328258192019
2022-01-01,100.01153609781082,51.16664604705089
2022-02-01,92.86785494796719,57.62687584949368
2022-03-01,97.41088065480882,53.5106704316727
2022-04-01,90.45296060803676,78.15133543432107
2022-05-01,84.00772960478413,72.56909718901242
2022-06-01,78.00717749015669,92.15487735631511
2022-07-01,97.07167597300266,85.57238611657831
2022-08-01,90.1379848320739,91.98078989842986
2022-09-01,83.69955734406861,111.79501082086345
2022-10-01,98.17529348243872,103.8096529050875
2022-11-01,106.0292101589163,96.39467769758126
2022-12-01,98.45569514756514,106.6957798207451
2023-01-01,108.35886675532834,99.07465269069188
2023-02-01,100.61894770137631,99.60147716367817
2023-03-01,103.37189116913514,92.48708593770117
2023-04-01,100.28603621955405,85.88086551357966
2023-05-01,93.86204060788948,79.74651797689539
2023-06-01,106.48259518500451,74.05033812140286
2023-07-01,108.77527253786134,68.76102825558837
2023-08-01,101.00561021372839,69.65665514358206
2023-09-01,93.79092376989065,80.36763345921905
2023-10-01,87.09157207204133,81.35923106927484
2023-11-01,107.58503120975266,75.5478574214695
2023-12-01,114.33111994030604,70.15158189136454
2024-01-01,111.58031310305203,65.14075461340994
2024-02-01,121.5117276805126,60.48784356959494
2024-03-01,124.12375271226172,56.16728331462388
2024-04-01,115.2577703756716,67.77391709572217
2024-05-01,124.29791707874863,62.9329230174563
2024-06-01,128.48879549053444,58.43771423049513
2024-07-01,123.72672611397842,54.26359178545977
2024-08-01,123.89625265271209,50.38762094364121
2024-09-01,123.19509732930409,46.78850516195256
2024-10-01,114.39544752006807,47.52002516154523
2024-11-01,129.5764646614918,44.12573765000628
2024-12-01,120.32100289995667,51.741756389291545
2025-01-01,123.07663857451334,48.04591664719929
2025-02-01,114.28545010490525,50.75905011213148
2025-03-01,106.1222036688406,71.60839670010424
2025-04-01,98.54204626392341,69.5499425831325
2025-05-01,115.97689173167888,64.58208954148019
2025-06-01,128.63998902986253,59.96908314566018
2025-07-01,129.05427134246165,55.68557720668445
2025-08-01,128.4696540255894,51.70803597763556
2025-09-01,135.59326411751158,48.01460483637588
2025-10-01,136.74661913590361,44.584990205206175
