Date,TLT
2015-12-01,92.33963012695312
2016-01-01,97.89730834960938
2016-02-01,100.7274398803711
2016-03-01,100.63336944580078
2016-04-01,99.87474822998047
2016-05-01,100.68502044677734
2016-06-01,107.66217803955078
2016-07-01,109.9494857788086
2016-08-01,108.83670043945312
2016-09-01,107.19562530517578
2016-10-01,102.5018539428711
2016-11-01,94.0723876953125
2016-12-01,93.38180541992188
2017-01-01,94.57979583740234
2017-02-01,95.87133026123047
2017-03-01,95.26559448242188
2017-04-01,96.74589538574219
2017-05-01,98.57511901855469
2017-06-01,99.35269927978516
2017-07-01,98.70381927490234
2017-08-01,102.05748748779297
2017-09-01,99.69807434082031
2017-10-01,99.6631088256836
2017-11-01,100.39442443847656
2017-12-01,102.00614166259766
2018-01-01,99.09593963623047
2018-02-01,95.88235473632812
2018-03-01,98.63069915771484
2018-04-01,96.55950927734375
2018-05-01,98.48837280273438
2018-06-01,99.1126708984375
2018-07-01,97.69429016113281
2018-08-01,98.9788818359375
2018-09-01,96.1421890258789
2018-10-01,93.32681274414062
2018-11-01,94.97611236572266
2018-12-01,100.3083267211914
2019-01-01,101.16106414794922
2019-02-01,99.54376220703125
2019-03-01,105.10545349121094
2019-04-01,103.00334930419922
2019-05-01,110.05948638916016
2019-06-01,111.11034393310547
2019-07-01,111.40543365478516
2019-08-01,123.71117401123047
2019-09-01,120.42257690429688
2019-10-01,119.08417510986328
2019-11-01,118.5999755859375
2019-12-01,114.6272201538086
2020-01-01,123.8534927368164
2020-02-01,131.84161376953125
2020-03-01,140.27452087402344
2020-04-01,141.98904418945312
2020-05-01,139.50784301757812
2020-06-01,139.97909545898438
2020-07-01,146.20387268066406
2020-08-01,138.833984375
2020-09-01,139.90528869628906
2020-10-01,135.1818389892578
2020-11-01,137.42593383789062
2020-12-01,135.6046905517578
2021-01-01,130.94825744628906
2021-02-01,123.29811096191406
2021-03-01,116.82564544677734
2021-04-01,119.7208480834961
2021-05-01,119.7116928100586
2021-06-01,125.0052490234375
2021-07-01,129.6687774658203
2021-08-01,129.23866271972656
2021-09-01,125.47509765625
2021-10-01,128.56826782226562
2021-11-01,132.13092041015625
2021-12-01,129.33200073242188
2022-01-01,124.56134033203125
2022-02-01,122.35684204101562
2022-03-01,115.7031478881836
2022-04-01,104.77772521972656
2022-05-01,102.3992919921875
2022-06-01,101.08644104003906
2022-07-01,103.52307891845703
2022-08-01,98.82564544677734
2022-09-01,90.660400390625
2022-10-01,85.22978210449219
2022-11-01,91.31786346435547
2022-12-01,88.71781158447266
2023-01-01,95.95802307128906
2023-02-01,91.06925964355469
2023-03-01,95.48674011230469
2023-04-01,95.80299377441406
2023-05-01,92.91534423828125
2023-06-01,93.10462188720703
2023-07-01,90.73123168945312
2023-08-01,87.8761978149414
2023-09-01,80.8694076538086
2023-10-01,76.43858337402344
2023-11-01,84.00194549560547
2023-12-01,91.0291976928711
2024-01-01,89.55482482910156
2024-02-01,87.25711822509766
2024-03-01,87.94683074951172
2024-04-01,82.25585174560547
2024-05-01,84.61408996582031
2024-06-01,86.15909576416016
2024-07-01,89.30762481689453
2024-08-01,91.17922973632812
2024-09-01,93.00962829589844
2024-10-01,87.93807220458984
2024-11-01,89.67273712158203
2024-12-01,83.61768341064453
2025-01-01,84.64881896972656
2025-02-01,89.15325927734375
2025-03-01,88.11616516113281
2025-04-01,86.87869262695312
2025-05-01,84.08219909667969
2025-06-01,86.3184585571289
2025-07-01,85.33405303955078
2025-08-01,85.33706665039062
2025-09-01,88.4033203125
2025-10-01,89.6529312133789
