Date,NDX
2015-12-01,103.85743713378906
2016-01-01,96.9757308959961
2016-02-01,95.45769500732422
2016-03-01,101.69737243652344
2016-04-01,98.74851989746094
2016-05-01,103.0638656616211
2016-06-01,100.44852447509766
2016-07-01,107.9180908203125
2016-08-01,109.05131530761719
2016-09-01,111.18661499023438
2016-10-01,109.84091186523438
2016-11-01,110.31976318359375
2016-12-01,111.23987579345703
2017-01-01,117.3035888671875
2017-02-01,122.43568420410156
2017-03-01,124.65802764892578
2017-04-01,128.32376098632812
2017-05-01,133.3249969482422
2017-06-01,129.88076782226562
2017-07-01,135.52386474609375
2017-08-01,138.33401489257812
2017-09-01,137.62440490722656
2017-10-01,144.279052734375
2017-11-01,147.1238250732422
2017-12-01,147.70225524902344
2018-01-01,160.97259521484375
2018-02-01,158.89157104492188
2018-03-01,152.16375732421875
2018-04-01,153.18154907226562
2018-05-01,161.87147521972656
2018-06-01,163.3752899169922
2018-07-01,168.3033447265625
2018-08-01,178.0323944091797
2018-09-01,177.21214294433594
2018-10-01,162.2709503173828
2018-11-01,161.84097290039062
2018-12-01,147.4026336669922
2019-01-01,161.14447021484375
2019-02-01,165.96463012695312
2019-03-01,172.1647186279297
2019-04-01,181.9630584716797
2019-05-01,166.9962615966797
2019-06-01,179.27500915527344
2019-07-01,183.86631774902344
2019-08-01,180.3737335205078
2019-09-01,181.66299438476562
2019-10-01,190.00238037109375
2019-11-01,197.73431396484375
2019-12-01,204.974609375
2020-01-01,211.66055297851562
2020-02-01,198.83937072753906
2020-03-01,183.960205078125
2020-04-01,211.95664978027344
2020-05-01,225.94766235351562
2020-06-01,239.7353973388672
2020-07-01,257.7951354980469
2020-08-01,286.0101623535156
2020-09-01,269.482666015625
2020-10-01,261.2771301269531
2020-11-01,290.60748291015625
2020-12-01,304.3028259277344
2021-01-01,305.6512145996094
2021-02-01,305.2431335449219
2021-03-01,310.09173583984375
2021-04-01,328.8323974609375
2021-05-01,324.88238525390625
2021-06-01,344.826904296875
2021-07-01,355.1036376953125
2021-08-01,370.0843505859375
2021-09-01,348.66522216796875
2021-10-01,376.5013732910156
2021-11-01,384.0195007324219
2021-12-01,387.94915771484375
2022-01-01,354.46734619140625
2022-02-01,338.6014099121094
2022-03-01,353.9693908691406
2022-04-01,306.22271728515625
2022-05-01,301.3642272949219
2022-06-01,273.99237060546875
2022-07-01,308.97589111328125
2022-08-01,293.11865234375
2022-09-01,261.76666259765625
2022-10-01,272.7261657714844
2022-11-01,287.8465576171875
2022-12-01,261.2755126953125
2023-01-01,289.7749328613281
2023-02-01,288.732421875
2023-03-01,315.6523132324219
2023-04-01,317.74664306640625
2023-05-01,342.79718017578125
2023-06-01,363.9073791503906
2023-07-01,378.4730224609375
2023-08-01,372.8602600097656
2023-09-01,353.4078674316406
2023-10-01,346.6092834472656
2023-11-01,384.1083679199219
2023-12-01,404.5470886230469
2024-01-01,412.94647216796875
2024-02-01,434.763916015625
2024-03-01,439.7255859375
2024-04-01,421.0489196777344
2024-05-01,446.9511413574219
2024-06-01,475.1142578125
2024-07-01,467.8838195800781
2024-08-01,473.0486145019531
2024-09-01,484.7688293457031
2024-10-01,481.2527160644531
2024-11-01,507.0036926269531
2024-12-01,508.4857482910156
2025-01-01,520.323974609375
2025-02-01,506.2572326660156
2025-03-01,467.15496826171875
2025-04-01,474.38665771484375
2025-05-01,517.92724609375
2025-06-01,550.3831176757812
2025-07-01,564.3557739257812
2025-08-01,569.7395629882812
2025-09-01,599.6748046875
2025-10-01,629.0700073242188
