Date,BTC
2015-12-01,430.5669860839844
2016-01-01,368.7669982910156
2016-02-01,437.6969909667969
2016-03-01,416.72900390625
2016-04-01,448.3179931640625
2016-05-01,531.385986328125
2016-06-01,673.3369750976562
2016-07-01,624.6810302734375
2016-08-01,575.4719848632812
2016-09-01,609.7349853515625
2016-10-01,700.9719848632812
2016-11-01,745.6909790039062
2016-12-01,963.7429809570312
2017-01-01,970.4030151367188
2017-02-01,1179.969970703125
2017-03-01,1071.7900390625
2017-04-01,1347.8900146484375
2017-05-01,2286.409912109375
2017-06-01,2480.840087890625
2017-07-01,2875.340087890625
2017-08-01,4703.39013671875
2017-09-01,4338.7099609375
2017-10-01,6468.39990234375
2017-11-01,10233.599609375
2017-12-01,14156.400390625
2018-01-01,10221.099609375
2018-02-01,10397.900390625
2018-03-01,6973.52978515625
2018-04-01,9240.5498046875
2018-05-01,7494.169921875
2018-06-01,6404.0
2018-07-01,7780.43994140625
2018-08-01,7037.580078125
2018-09-01,6625.56005859375
2018-10-01,6317.60986328125
2018-11-01,4017.2685546875
2018-12-01,3742.700439453125
2019-01-01,3457.792724609375
2019-02-01,3854.785400390625
2019-03-01,4105.404296875
2019-04-01,5350.7265625
2019-05-01,8574.501953125
2019-06-01,10817.1552734375
2019-07-01,10085.6279296875
2019-08-01,9630.6640625
2019-09-01,8293.8681640625
2019-10-01,9199.5849609375
2019-11-01,7569.6298828125
2019-12-01,7193.59912109375
2020-01-01,9350.529296875
2020-02-01,8599.5087890625
2020-03-01,6438.64453125
2020-04-01,8658.5537109375
2020-05-01,9461.05859375
2020-06-01,9137.9931640625
2020-07-01,11323.466796875
2020-08-01,11680.8203125
2020-09-01,10784.4912109375
2020-10-01,13780.9951171875
2020-11-01,19625.8359375
2020-12-01,29001.720703125
2021-01-01,33114.359375
2021-02-01,45137.76953125
2021-03-01,58918.83203125
2021-04-01,57750.17578125
2021-05-01,37332.85546875
2021-06-01,35040.8359375
2021-07-01,41626.1953125
2021-08-01,47166.6875
2021-09-01,43790.89453125
2021-10-01,61318.95703125
2021-11-01,57005.42578125
2021-12-01,46306.4453125
2022-01-01,38483.125
2022-02-01,43193.234375
2022-03-01,45538.67578125
2022-04-01,37714.875
2022-05-01,31792.310546875
2022-06-01,19784.7265625
2022-07-01,23336.896484375
2022-08-01,20049.763671875
2022-09-01,19431.7890625
2022-10-01,20495.7734375
2022-11-01,17168.56640625
2022-12-01,16547.49609375
2023-01-01,23139.283203125
2023-02-01,23147.353515625
2023-03-01,28478.484375
2023-04-01,29268.806640625
2023-05-01,27219.658203125
2023-06-01,30477.251953125
2023-07-01,29230.111328125
2023-08-01,25931.47265625
2023-09-01,26967.916015625
2023-10-01,34667.78125
2023-11-01,37712.74609375
2023-12-01,42265.1875
2024-01-01,42582.60546875
2024-02-01,61198.3828125
2024-03-01,71333.6484375
2024-04-01,60636.85546875
2024-05-01,67491.4140625
2024-06-01,62678.29296875
2024-07-01,64619.25
2024-08-01,58969.8984375
2024-09-01,63329.5
2024-10-01,70215.1875
2024-11-01,96449.0546875
2024-12-01,93429.203125
2025-01-01,102405.0234375
2025-02-01,84373.0078125
2025-03-01,82548.9140625
2025-04-01,94207.3125
2025-05-01,104638.09375
2025-06-01,107135.3359375
2025-07-01,115758.203125
2025-08-01,108236.7109375
2025-09-01,114056.0859375
2025-10-01,109556.1640625
