Date,DXY
2015-12-01,98.62999725341797
2016-01-01,99.61000061035156
2016-02-01,98.20999908447266
2016-03-01,94.58999633789062
2016-04-01,93.08000183105469
2016-05-01,95.88999938964844
2016-06-01,96.13999938964844
2016-07-01,95.52999877929688
2016-08-01,96.0199966430664
2016-09-01,95.45999908447266
2016-10-01,98.44999694824219
2016-11-01,101.5
2016-12-01,102.38999938964844
2017-01-01,99.51000213623047
2017-02-01,101.12000274658203
2017-03-01,100.3499984741211
2017-04-01,99.05000305175781
2017-05-01,96.91999816894531
2017-06-01,95.66000366210938
2017-07-01,92.86000061035156
2017-08-01,92.66999816894531
2017-09-01,93.08000183105469
2017-10-01,94.55000305175781
2017-11-01,93.01000213623047
2017-12-01,92.12000274658203
2018-01-01,89.12999725341797
2018-02-01,90.61000061035156
2018-03-01,89.97000122070312
2018-04-01,91.83999633789062
2018-05-01,93.98999786376953
2018-06-01,94.62999725341797
2018-07-01,94.48999786376953
2018-08-01,95.13999938964844
2018-09-01,95.19000244140625
2018-10-01,97.12999725341797
2018-11-01,97.2699966430664
2018-12-01,96.16999816894531
2019-01-01,95.58000183105469
2019-02-01,96.16000366210938
2019-03-01,97.27999877929688
2019-04-01,97.4800033569336
2019-05-01,97.75
2019-06-01,96.12999725341797
2019-07-01,98.5199966430664
2019-08-01,98.91999816894531
2019-09-01,99.37999725341797
2019-10-01,97.3499984741211
2019-11-01,98.2699966430664
2019-12-01,96.38999938964844
2020-01-01,97.38999938964844
2020-02-01,98.12999725341797
2020-03-01,99.05000305175781
2020-04-01,99.0199966430664
2020-05-01,98.33999633789062
2020-06-01,97.38999938964844
2020-07-01,93.48999786376953
2020-08-01,92.13999938964844
2020-09-01,93.88999938964844
2020-10-01,94.04000091552734
2020-11-01,91.87000274658203
2020-12-01,89.94000244140625
2021-01-01,90.58000183105469
2021-02-01,90.93000030517578
2021-03-01,93.2300033569336
2021-04-01,91.27999877929688
2021-05-01,89.83999633789062
2021-06-01,92.44000244140625
2021-07-01,92.16999816894531
2021-08-01,92.62999725341797
2021-09-01,94.25
2021-10-01,94.12000274658203
2021-11-01,95.98999786376953
2021-12-01,95.66999816894531
2022-01-01,96.54000091552734
2022-02-01,96.70999908447266
2022-03-01,98.30999755859375
2022-04-01,102.95999908447266
2022-05-01,101.75
2022-06-01,104.69000244140625
2022-07-01,105.9000015258789
2022-08-01,108.69999694824219
2022-09-01,112.12000274658203
2022-10-01,111.52999877929688
2022-11-01,105.94999694824219
2022-12-01,103.5199966430664
2023-01-01,102.0999984741211
2023-02-01,104.87000274658203
2023-03-01,102.51000213623047
2023-04-01,101.66999816894531
2023-05-01,104.31999969482422
2023-06-01,102.91000366210938
2023-07-01,101.86000061035156
2023-08-01,103.62000274658203
2023-09-01,106.16999816894531
2023-10-01,106.66000366210938
2023-11-01,103.5
2023-12-01,101.33000183105469
2024-01-01,103.2699966430664
2024-02-01,104.16000366210938
2024-03-01,104.55000305175781
2024-04-01,106.22000122070312
2024-05-01,104.66999816894531
2024-06-01,105.87000274658203
2024-07-01,104.0999984741211
2024-08-01,101.69999694824219
2024-09-01,100.77999877929688
2024-10-01,103.9800033569336
2024-11-01,105.73999786376953
2024-12-01,108.48999786376953
2025-01-01,108.37000274658203
2025-02-01,107.61000061035156
2025-03-01,104.20999908447266
2025-04-01,99.47000122070312
2025-05-01,99.33000183105469
2025-06-01,96.87999725341797
2025-07-01,100.02999877929688
2025-08-01,97.7699966430664
2025-09-01,97.7699966430664
2025-10-01,99.80000305175781
