Date,BTC,DXY,GLD,NDX,TLT,USDT,SPX,Rates,BTC_Volume,active_addresses,hash_rate,n_transactions,BTC_AG,BTC_AL,RSI_BTC,SPX_AG,SPX_AL,RSI_SPX,NDX_AG,NDX_AL,RSI_NDX,GLD_AG,GLD_AL,RSI_GLD,TLT_AG,TLT_AL,RSI_TLT,USDT_AG,USDT_AL,RSI_USDT,Trend_DXY,Trend_Rates,Ret_BTC,Ret_SPX,Ret_NDX,Ret_GLD,Ret_TLT,Ret_USDT,Ret_HashRate,Ret_Transactions,Prev_RSI_BTC,Prev_RSI_SPX,Prev_RSI_NDX,Prev_DXY_Trend,Prev_Rate_Trend,Prev_BTC_AG,Prev_BTC_AL,Prev_SPX_AG,Prev_SPX_AL,Prev_NDX_AG,Prev_NDX_AL,Prev_RSI_GLD,Prev_GLD_AG,Prev_GLD_AL,Prev_RSI_TLT,Prev_TLT_AG,Prev_TLT_AL,Prev_RSI_USDT,Prev_USDT_AG,Prev_USDT_AL,Prev_Active_Addresses,Prev_Active_Addresses_Z
2022-01-01,38483.125,96.54000091552734,168.08999633789062,354.46734619140625,124.56134033203125,1.0004849433898926,4515.5498046875,0.17299999296665192,923979037681.0,657231.125,185084089.2549857,250971.34693877553,3232.916026701113,2810.2942059136935,53.496666544103974,100.01153609781082,51.16664604705089,66.15474182774466,9.007750721773691,4.923969296165063,64.65641507419856,2.8233052214267462,2.3450977611846264,54.62625942530996,1.7816945456911941,1.8772174603747604,48.69465411404807,0.0006758584481602831,0.0007163970781584947,48.544138298183,0.8700027465820312,0.13999999314546585,-16.894668246945244,-5.258516502739385,-8.630463775371256,-1.6787612677039987,-3.6886929556287917,0.029594074891958755,8.402297094224664,-4.5298708786772774,58.947470290857126,75.04091247247439,78.0556692462479,-0.31999969482421875,-0.015000000596046448,3481.6018749088907,2424.676813099362,107.70473118225782,35.82328258192019,9.70065462344859,2.7272122017594915,56.88245852486996,3.0404825461518805,2.304719867739093,53.69541012189527,1.9187479722828247,1.6546449265273862,47.7506867353674,0.0007050785852530288,0.000771504545709148,678185.0,-0.0513040977242066
2022-02-01,43193.234375,96.70999908447266,178.3800048828125,338.6014099121094,122.35684204101562,1.0003509521484375,4373.93994140625,0.2879999876022339,671335993325.0,654774.1428571428,197135018.09564558,250030.10204081633,3338.4298372938906,2609.5589054912866,56.12703691383675,92.86785494796719,57.62687584949368,61.70837640352392,8.364339955932714,5.7055383663887635,59.44855928613766,3.3566411731049697,2.1775907782428674,60.65233988408229,1.6544306495703947,1.9005946625633936,46.53780224640304,0.0006275828447202629,0.0006747966612511078,48.18740173987801,0.1699981689453125,0.11499999463558197,12.239415003329391,-3.1360491945908286,-4.475993755072027,6.121725723782601,-1.7698093847893004,-0.013392629478370388,6.511056076817945,-0.3750407803281286,53.496666544103974,66.15474182774466,64.65641507419856,0.8700027465820312,0.13999999314546585,3232.916026701113,2810.2942059136935,100.01153609781082,51.16664604705089,9.007750721773691,4.923969296165063,54.62625942530996,2.8233052214267462,2.3450977611846264,48.69465411404807,1.7816945456911941,1.8772174603747604,48.544138298183,0.0006758584481602831,0.0007163970781584947,657231.125,-0.2108598117387806
2022-03-01,45538.67578125,98.30999755859375,180.64999389648438,353.9693908691406,115.7031478881836,1.0003039836883545,4530.41015625,0.49300000071525574,830943838435.0,680172.0,200693524.25061288,252733.05357142858,3267.5020922193266,2423.161840813337,57.418644479292105,97.41088065480882,53.5106704316727,64.54404951019231,8.864600027439751,5.297999911646708,62.59161499700987,3.2790231617168915,2.0220485797969485,61.855853336942246,1.536257031743938,2.2401017690111535,40.68090753020502,0.0005827554986688156,0.0006299517897391006,48.054093864140704,1.5999984741210938,0.20500001311302185,5.430112933630005,3.5773288371546252,4.538664195468156,1.27255799503041,-5.437942040545329,-0.004695198218396257,1.8051111311135903,1.0810504449464187,56.12703691383675,61.70837640352392,59.44855928613766,0.1699981689453125,0.11499999463558197,3338.4298372938906,2609.5589054912866,92.86785494796719,57.62687584949368,8.364339955932714,5.7055383663887635,60.65233988408229,3.3566411731049697,2.1775907782428674,46.53780224640304,1.6544306495703947,1.9005946625633936,48.18740173987801,0.0006275828447202629,0.0006747966612511078,654774.1428571428,-0.10654524370993701
2022-04-01,37714.875,102.95999908447266,176.91000366210938,306.22271728515625,104.77772521972656,1.000154972076416,4131.93017578125,0.8080000281333923,830115888649.0,649158.7142857143,206394318.77719635,261064.6607142857,3034.109085632232,2808.921765130242,51.926973571195546,90.45296060803676,78.15133543432107,53.64807583865633,8.231414311194055,8.330048031099398,49.70221917042477,3.0448072215942568,2.144758697981095,58.67171298680421,1.426524386619371,2.860481833257288,33.2755380667587,0.0005411301059067573,0.000595598919896199,47.604142554952084,4.650001525878906,0.3150000274181366,-17.180562778839857,-8.795671180434306,-13.488927239371352,-2.0702963524693363,-9.442632173685928,-0.01489663286045051,2.840547321030984,3.2966036793055986,57.418644479292105,64.54404951019231,62.59161499700987,1.5999984741210938,0.20500001311302185,3267.5020922193266,2423.161840813337,97.41088065480882,53.5106704316727,8.864600027439751,5.297999911646708,61.855853336942246,3.2790231617168915,2.0220485797969485,40.68090753020502,1.536257031743938,2.2401017690111535,48.054093864140704,0.0005827554986688156,0.0006299517897391006,680172.0,0.4304760429669809
2022-05-01,31792.310546875,101.75,171.13999938964844,301.3642272949219,102.3992919921875,0.9993879795074463,4132.14990234375,1.0299999713897705,1105689315990.0,641998.25,219101176.48506737,263746.61224489793,2817.387008087073,3031.324814272725,48.17106900901015,84.00772960478413,72.56909718901242,53.65272200554804,7.643456146108766,8.08207959960904,48.60537834579113,2.827320991480381,2.4037048104439407,54.0490737101756,1.3246297875751303,2.8260497899917003,31.913564100065784,0.0005024779554848462,0.0006078413234014509,45.25526711459567,-1.2099990844726562,0.22199994325637817,-15.703524015723236,0.005317770464463578,-1.5865870544510052,-3.261547766106776,-2.26997982877688,-0.07668737249562074,6.15659277016638,1.0273131274352698,51.926973571195546,53.64807583865633,49.70221917042477,4.650001525878906,0.3150000274181366,3034.109085632232,2808.921765130242,90.45296060803676,78.15133543432107,8.231414311194055,8.330048031099398,58.67171298680421,3.0448072215942568,2.144758697981095,33.2755380667587,1.426524386619371,2.860481833257288,47.604142554952084,0.0005411301059067573,0.000595598919896199,649158.7142857143,0.1170233912858033
2022-06-01,19784.7265625,104.69000244140625,168.4600067138672,273.99237060546875,101.08644104003906,0.9988189935684204,3785.3798828125,1.600000023841858,923939211678.0,639505.75,211751280.23532194,251277.80357142858,2616.145078937996,3672.4861835657443,41.601184259870415,78.00717749015669,92.15487735631511,45.842874641199195,7.097494992815283,9.459920820312188,42.865958510192556,2.6253694920889252,2.4234396579680344,51.99977685944628,1.2300133741769066,2.7179641587171814,31.15553125438477,0.00046658667295021433,0.0006050659388031958,43.538985286173784,2.94000244140625,0.5700000524520874,-37.76883082049309,-8.391999993382681,-9.08264956831336,-1.5659651077124859,-1.282089872504788,-0.05693343833356179,-3.3545672221647616,-4.727571121137897,48.17106900901015,53.65272200554804,48.60537834579113,-1.2099990844726562,0.22199994325637817,2817.387008087073,3031.324814272725,84.00772960478413,72.56909718901242,7.643456146108766,8.08207959960904,54.0490737101756,2.827320991480381,2.4037048104439407,31.913564100065784,1.3246297875751303,2.8260497899917003,45.25526711459567,0.0005024779554848462,0.0006078413234014509,641998.25,0.06179670753404716
2022-07-01,23336.896484375,105.9000015258789,164.10000610351562,308.97589111328125,103.52307891845703,1.0003279447555542,4130.2900390625,2.2980000972747803,927582363389.0,627268.4285714285,204846170.24278373,248586.9642857143,2683.003996290639,3410.1657418824766,44.032976456931436,97.07167597300266,85.57238611657831,53.14800539499179,9.089353958172227,8.784212190289889,50.85361187954256,2.4378430997968588,2.5617654402811434,48.76067956630109,1.3162008387655537,2.523823861665954,34.27584303344847,0.0005410412811061839,0.0005618469431743961,49.056764701527946,1.2099990844726562,0.6980000734329224,17.954101668545608,9.111639173021002,12.76806373495214,-2.58815174913124,2.4104497629438226,0.15107353753285313,-3.260953126169752,-1.070862307561271,41.601184259870415,45.842874641199195,42.865958510192556,2.94000244140625,0.5700000524520874,2616.145078937996,3672.4861835657443,78.00717749015669,92.15487735631511,7.097494992815283,9.459920820312188,51.99977685944628,2.6253694920889252,2.4234396579680344,31.15553125438477,1.2300133741769066,2.7179641587171814,43.538985286173784,0.00046658667295021433,0.0006050659388031958,639505.75,-0.10599824518559468
2022-08-01,20049.763671875,108.69999694824219,159.27000427246094,293.11865234375,98.82564544677734,1.0000159740447998,3955.0,2.859999895095825,894192654543.0,635584.125,207824226.06187135,252722.693877551,2491.3608536984502,3401.377675498014,42.27848972688379,90.1379848320739,91.98078989842986,49.494065049283655,8.440114389731354,9.289428374521416,47.604805729952346,2.263711449811369,2.723782325336397,45.387754889865526,1.2221864931394428,2.6790816909526494,31.32792813688279,0.0005023954753128851,0.0005439986408586817,48.012069979043375,2.7999954223632812,0.5619997978210449,-14.085561097213029,-4.244012827299837,-5.132192907477506,-2.943328245830701,-4.53757125537172,-0.031186843513664186,1.453801072071803,1.6636952801287297,44.032976456931436,53.14800539499179,50.85361187954256,1.2099990844726562,0.6980000734329224,2683.003996290639,3410.1657418824766,97.07167597300266,85.57238611657831,9.089353958172227,8.784212190289889,48.76067956630109,2.4378430997968588,2.5617654402811434,34.27584303344847,1.3162008387655537,2.523823861665954,49.056764701527946,0.0005410412811061839,0.0005618469431743961,627268.4285714285,-0.6953055814149295
2022-09-01,19431.7890625,112.12000274658203,154.6699981689453,261.76666259765625,90.660400390625,1.0000489950180054,3585.6201171875,3.180000066757202,1123272250385.0,653993.625,225964723.84561157,253136.48214285713,2313.4065070057036,3202.5631707749417,41.940159974492545,83.69955734406861,111.79501082086345,42.81426237554292,7.8372490761791145,10.865325615348011,41.9046532653584,2.1020177748248425,2.8577983094920563,42.3809620979998,1.1348874579151969,3.0709505027526274,26.98362296713384,0.00046886872516236234,0.0005051415950830617,48.13796275220371,3.4200057983398438,0.32000017166137695,-3.0822039575552185,-9.339567201327437,-10.696006376737232,-2.888181063677542,-8.262273440500568,0.0033020445735498782,8.728769560455207,0.16373213618345872,42.27848972688379,49.494065049283655,47.604805729952346,2.7999954223632812,0.5619997978210449,2491.3608536984502,3401.377675498014,90.1379848320739,91.98078989842986,8.440114389731354,9.289428374521416,45.387754889865526,2.263711449811369,2.723782325336397,31.32792813688279,1.2221864931394428,2.6790816909526494,48.012069979043375,0.0005023954753128851,0.0005439986408586817,635584.125,-0.7799156401518483
2022-10-01,20495.7734375,111.52999877929688,151.91000366210938,272.7261657714844,85.22978210449219,0.9999470114707947,3871.97998046875,3.9749999046325684,957903424925.0,631784.8571428572,255903880.59547034,258102.5,2224.162069005296,2973.8086585767314,42.7890456789841,98.17529348243872,103.8096529050875,48.60525263802611,8.060267226011186,10.089230928537438,44.410413761171256,1.9518736480516397,2.850812323588048,40.641292384670514,1.0538240680641113,3.2394982015654974,24.5456549003722,0.0004353781019364793,0.0004763445916636068,47.75334704210528,-0.5900039672851562,0.7949998378753662,5.475483351418764,7.98634138370089,4.186745197066299,-1.7844407703562548,-5.990066514965864,-0.01019785507697657,13.249482591944052,1.961794607835432,41.940159974492545,42.81426237554292,41.9046532653584,3.4200057983398438,0.32000017166137695,2313.4065070057036,3202.5631707749417,83.69955734406861,111.79501082086345,7.8372490761791145,10.865325615348011,42.3809620979998,2.1020177748248425,2.8577983094920563,26.98362296713384,1.1348874579151969,3.0709505027526274,48.13796275220371,0.00046886872516236234,0.0005051415950830617,653993.625,-0.19066348600093225
