Date,Ret_BTC
2015-12-01,14.111583942323126
2016-01-01,-14.353164499452431
2016-02-01,18.69201772263378
2016-03-01,-4.79052575029868
2016-04-01,7.580223349397341
2016-05-01,18.52881089554299
2016-06-01,26.713348191662334
2016-07-01,-7.226091336683538
2016-08-01,-7.877467543494365
2016-09-01,5.953895478755822
2016-10-01,14.963386012549872
2016-11-01,6.379569384552086
2016-12-01,29.24160384029304
2017-01-01,0.6910591632090402
2017-02-01,21.595868139061846
2017-03-01,-9.168024129983776
2017-04-01,25.76064019287243
2017-05-01,69.62881891411045
2017-06-01,8.503732193929924
2017-07-01,15.901871383230915
2017-08-01,63.57682892979797
2017-09-01,-7.753559989298775
2017-10-01,49.08578726350426
2017-11-01,58.20913616777115
2017-12-01,38.33256069209823
2018-01-01,-27.79873889308847
2018-02-01,1.7297628240295682
2018-03-01,-32.93328919130871
2018-04-01,32.50893147910252
2018-05-01,-18.89909063556592
2018-06-01,-14.546906905498158
2018-07-01,21.49344068404513
2018-08-01,-9.547787385747553
2018-09-01,-5.8545695389234265
2018-10-01,-4.647911913696568
2018-11-01,-36.41157587086258
2018-12-01,-6.834696548081121
2019-01-01,-7.612356891843053
2019-02-01,11.481101020191954
2019-03-01,6.501500614248945
2019-04-01,30.33373026312973
2019-05-01,60.249301715742455
2019-06-01,26.154910600902713
2019-07-01,-6.7626591766352
2019-08-01,-4.511011811652232
2019-09-01,-13.880620170759904
2019-10-01,10.9203182273802
2019-11-01,-17.71770232076748
2019-12-01,-4.96762414464359
2020-01-01,29.984019674608998
2020-02-01,-8.031850219040493
2020-03-01,-25.127763815543148
2020-04-01,34.477896223547646
2020-05-01,9.268347920493625
2020-06-01,-3.4146858566219795
2020-07-01,23.916341296986676
2020-08-01,3.155866679660524
2020-09-01,-7.673511599209437
2020-10-01,27.785306210931694
2020-11-01,42.41232777902142
2020-12-01,47.7731740726012
2021-01-01,14.180671257315613
2021-02-01,36.308750593940786
2021-03-01,30.531110958991945
2021-04-01,-1.9835020649767054
2021-05-01,-35.35455959448175
2021-06-01,-6.13941661432399
2021-07-01,18.79338548528313
2021-08-01,13.31010952575873
2021-09-01,-7.157155076344934
2021-10-01,40.02672858735883
2021-11-01,-7.034580264960633
2021-12-01,-18.768354629620298
2022-01-01,-16.894668246945244
2022-02-01,12.239415003329391
2022-03-01,5.430112933630005
2022-04-01,-17.180562778839857
2022-05-01,-15.703524015723236
2022-06-01,-37.76883082049309
2022-07-01,17.954101668545608
2022-08-01,-14.085561097213029
2022-09-01,-3.0822039575552185
2022-10-01,5.475483351418764
2022-11-01,-16.233625149087516
2022-12-01,-3.617484988577191
2023-01-01,39.835556219679205
2023-02-01,0.034877106732977836
2023-03-01,23.031275933019145
2023-04-01,2.7751556410733347
2023-05-01,-7.0011342199917
2023-06-01,11.967798146804087
2023-07-01,-4.092037651288716
2023-08-01,-11.285070504336648
2023-09-01,3.9968549920561314
2023-10-01,28.55194754356902
2023-11-01,8.783270039094294
2023-12-01,12.071360157473276
2024-01-01,0.7510151676246579
2024-02-01,43.716858418659974
2024-03-01,16.561329171152273
2024-04-01,-14.995437921729394
2024-05-01,11.304277803921714
2024-06-01,-7.131456883230869
2024-07-01,3.0966973402063003
2024-08-01,-8.742521094720225
2024-09-01,7.392927032290175
2024-10-01,10.872796248193971
2024-11-01,37.36209803256596
2024-12-01,-3.1310328258628117
2025-01-01,9.607082167329573
2025-02-01,-17.608526437187265
2025-03-01,-2.1619399346929025
2025-04-01,14.123018539860022
2025-05-01,11.072156686350642
2025-06-01,2.3865516830480216
2025-07-01,8.048574368152783
2025-08-01,-6.497588926270748
2025-09-01,5.376526087678624
2025-10-01,-3.9453588451788923
