Date,Ret_USDT
2015-12-01,
2016-01-01,
2016-02-01,
2016-03-01,
2016-04-01,
2016-05-01,
2016-06-01,
2016-07-01,
2016-08-01,
2016-09-01,
2016-10-01,
2016-11-01,
2016-12-01,
2017-01-01,
2017-02-01,
2017-03-01,
2017-04-01,
2017-05-01,
2017-06-01,
2017-07-01,
2017-08-01,
2017-09-01,
2017-10-01,
2017-11-01,
2017-12-01,0.41265025620358387
2018-01-01,-2.1719665847489966
2018-02-01,0.8713713900188491
2018-03-01,0.18690466764019753
2018-04-01,-0.18495385444808887
2018-05-01,-0.09169954436639705
2018-06-01,0.11913726179715312
2018-07-01,0.031526528216385685
2018-08-01,0.4004962745121965
2018-09-01,-0.31389684929482575
2018-10-01,-1.2233621414104667
2018-11-01,0.37455205521363943
2018-12-01,2.2079468731695195
2019-01-01,-0.7134057628453205
2019-02-01,0.35539289711656874
2019-03-01,-0.9413250661862715
2019-04-01,0.5486997541013894
2019-05-01,-0.2560504948781017
2019-06-01,-1.0948007197179477
2019-07-01,1.1348212248641465
2019-08-01,-0.0005938196439125853
2019-09-01,0.03636573093990236
2019-10-01,0.2300465732415935
2019-11-01,-0.46858413442347757
2019-12-01,-0.20205538710830195
2020-01-01,0.09693038285443212
2020-02-01,0.5716315044333786
2020-03-01,-0.33199372615131395
2020-04-01,0.20787972426907775
2020-05-01,-0.7043060355517161
2020-06-01,0.18746773139259876
2020-07-01,0.023707043650578186
2020-08-01,0.30495396130845176
2020-09-01,-0.1821190164289721
2020-10-01,-0.11623740334878452
2020-11-01,0.01769903910306958
2020-12-01,0.022081155455744295
2021-01-01,0.020992124498309117
2021-02-01,0.1305955437903572
2021-03-01,-0.20905624914498988
2021-04-01,-0.0011086241902269478
2021-05-01,0.05240393515884012
2021-06-01,-0.03168086467433273
2021-07-01,0.005601626617024458
2021-08-01,0.025694532999476216
2021-09-01,-0.0373880948585259
2021-10-01,0.022097977713220196
2021-11-01,-0.00899691864473251
2021-12-01,-0.009700861887018686
2022-01-01,0.029594074891958755
2022-02-01,-0.013392629478370388
2022-03-01,-0.004695198218396257
2022-04-01,-0.01489663286045051
2022-05-01,-0.07668737249562074
2022-06-01,-0.05693343833356179
2022-07-01,0.15107353753285313
2022-08-01,-0.031186843513664186
2022-09-01,0.0033020445735498782
2022-10-01,-0.01019785507697657
2022-11-01,0.006801250357124644
2022-12-01,-0.03409930509180592
2023-01-01,0.044306654518466715
2023-02-01,0.0037069753953344886
2023-03-01,-0.003003611485241642
2023-04-01,0.03139583448554806
2023-05-01,-0.010390499270640507
2023-06-01,-0.025299681459967083
2023-07-01,-0.016991908847552306
2023-08-01,-0.0065034454848844625
2023-09-01,0.036412125166140896
2023-10-01,0.010488214464920986
2023-11-01,-0.01588559511396248
2023-12-01,-0.04259875276477754
2024-01-01,0.02981037145750598
2024-02-01,0.0373949065443302
2024-03-01,-0.03617739794422592
2024-04-01,-0.08780008544579943
2024-05-01,-0.01671522852169094
2024-06-01,-0.05866224193938896
2024-07-01,0.13261078474982035
2024-08-01,0.015107851217588397
2024-09-01,-0.007004358201090355
2024-10-01,-0.11911819981942351
2024-11-01,0.2009775031971195
2024-12-01,-0.2550425648742527
2025-01-01,0.16962705815537493
2025-02-01,-0.02420502875569719
2025-03-01,0.023912725350605513
2025-04-01,0.039705904446840634
2025-05-01,0.020703237857677692
2025-06-01,-0.012095242827792063
2025-07-01,-0.02939559136445613
2025-08-01,0.010294164543900308
2025-09-01,0.0035999046859691575
2025-10-01,-0.051892784393858804
