Date,Ret_GLD
2015-12-01,-0.4513334897339294
2016-01-01,5.410997351969926
2016-02-01,10.930343875618398
2016-03-01,-0.8428860461434318
2016-04-01,5.108808370802587
2016-05-01,-6.138296703293311
2016-06-01,8.969501879279118
2016-07-01,1.9846560311608918
2016-08-01,-3.2563165509125747
2016-09-01,0.6892135107908315
2016-10-01,-2.944919584699579
2016-11-01,-8.356570639157301
2016-12-01,-1.9149882681417818
2017-01-01,5.419215772584596
2017-02-01,3.1847686784806095
2017-03-01,-0.427746474772539
2017-04-01,1.726748147982482
2017-05-01,-0.12419798017191397
2017-06-01,-2.155534773928114
2017-07-01,2.313170169958645
2017-08-01,4.198757511241591
2017-09-01,-3.369891808976022
2017-10-01,-0.7484813689786707
2017-11-01,0.3563440057186007
2017-12-01,2.1057003170010358
2018-01-01,3.234937283169237
2018-02-01,-2.0759902030566435
2018-03-01,0.6320007324218668
2018-04-01,-0.9539745360543916
2018-05-01,-1.1959209467577336
2018-06-01,-3.614944763120931
2018-07-01,-2.2418909632539674
2018-08-01,-2.1381117106768266
2018-09-01,-0.6607347245927042
2018-10-01,2.119545356837582
2018-11-01,0.3386881324189961
2018-12-01,4.942010593064916
2019-01-01,2.8865979381443196
2019-02-01,-0.6092201492829408
2019-03-01,-1.5968995577486211
2019-04-01,-0.6638842503124187
2019-05-01,1.7574298155486723
2019-06-01,8.00291491984899
2019-07-01,0.0075148392299828615
2019-08-01,7.91231345612986
2019-09-01,-3.39478600543478
2019-10-01,2.563546974700759
2019-11-01,-3.208588289288572
2019-12-01,3.655877893383952
2020-01-01,4.499655849690343
2020-02-01,-0.6361728631845698
2020-03-01,-0.22240316767432322
2020-04-01,7.261060302877431
2020-05-01,2.588161543682088
2020-06-01,2.737702630176453
2020-07-01,10.790463097013703
2020-08-01,-0.32356731296194763
2020-09-01,-4.17140433776253
2020-10-01,-0.5194208414112778
2020-11-01,-5.408625961608992
2020-12-01,7.013861264675048
2021-01-01,-3.223816988295236
2021-02-01,-6.256881416817583
2021-03-01,-1.1433105943016053
2021-04-01,3.5633887903232075
2021-05-01,7.678377966625938
2021-06-01,-7.147662098325524
2021-07-01,2.5297363508325565
2021-08-01,-0.07655451490135023
2021-09-01,-3.223525924924131
2021-10-01,1.4797178527087285
2021-11-01,-0.6900653696985448
2021-12-01,3.2990977123064535
2022-01-01,-1.6787612677039987
2022-02-01,6.121725723782601
2022-03-01,1.27255799503041
2022-04-01,-2.0702963524693363
2022-05-01,-3.261547766106776
2022-06-01,-1.5659651077124859
2022-07-01,-2.58815174913124
2022-08-01,-2.943328245830701
2022-09-01,-2.888181063677542
2022-10-01,-1.7844407703562548
2022-11-01,8.491865963730461
2022-12-01,2.930648566594085
2023-01-01,5.759257431981046
2023-02-01,-5.367596391642193
2023-03-01,7.916128247166143
2023-04-01,0.8623522653246951
2023-05-01,-1.341989007892208
2023-06-01,-2.221370606110007
2023-07-01,2.288664235862692
2023-08-01,-1.2777635059315506
2023-09-01,-4.760586113112197
2023-10-01,7.372411557093361
2023-11-01,2.531372564947043
2023-12-01,1.2821182352028115
2024-01-01,-1.4228180398366375
2024-02-01,0.45635480195191924
2024-03-01,8.668323846462611
2024-04-01,2.989497307015121
2024-05-01,1.6189210429127243
2024-06-01,-0.13469974027457976
2024-07-01,5.367196334938273
2024-08-01,2.092249026936499
2024-09-01,5.088851491253266
2024-10-01,4.299348742370923
2024-11-01,-3.124136460320792
2024-12-01,-1.4088486936242095
2025-01-01,6.785607873643396
2025-02-01,1.8216241876358952
2025-03-01,9.446585889998316
2025-04-01,5.424437277239913
2025-05-01,-0.055957769465042606
2025-06-01,0.40513189855819753
2025-07-01,-0.6134551059805871
2025-08-01,4.987462468746839
2025-09-01,11.758415768627128
2025-10-01,3.5586670754335525
