Date,Trend_Rates
2015-12-01,-0.02199999988079071
2016-01-01,0.15200001001358032
2016-02-01,0.007999986410140991
2016-03-01,-0.11499999463558197
2016-04-01,0.0
2016-05-01,0.08999998867511749
2016-06-01,-0.034999996423721313
2016-07-01,-0.008000001311302185
2016-08-01,0.07999999821186066
2016-09-01,-0.06000000238418579
2016-10-01,0.034999996423721313
2016-11-01,0.1730000078678131
2016-12-01,0.01199999451637268
2017-01-01,0.02000001072883606
2017-02-01,0.023000001907348633
2017-03-01,0.2149999737739563
2017-04-01,0.041999995708465576
2017-05-01,0.17000001668930054
2017-06-01,0.042999982833862305
2017-07-01,0.06000000238418579
2017-08-01,-0.07499998807907104
2017-09-01,0.050000011920928955
2017-10-01,0.09500002861022949
2017-11-01,0.11500000953674316
2017-12-01,0.11699998378753662
2018-01-01,0.07499992847442627
2018-02-01,0.18800008296966553
2018-03-01,0.05199992656707764
2018-04-01,0.09300005435943604
2018-05-01,0.10699999332427979
2018-06-01,0.009999990463256836
2018-07-01,0.10500001907348633
2018-08-01,0.0700000524520874
2018-09-01,0.09500002861022949
2018-10-01,0.12800002098083496
2018-11-01,0.029999971389770508
2018-12-01,-0.00800013542175293
2019-01-01,0.039999961853027344
2019-02-01,0.042999982833862305
2019-03-01,-0.05499982833862305
2019-04-01,0.039999961853027344
2019-05-01,-0.07500004768371582
2019-06-01,-0.25799989700317383
2019-07-01,-0.005000114440917969
2019-08-01,-0.09700000286102295
2019-09-01,-0.1629999876022339
2019-10-01,-0.27199995517730713
2019-11-01,0.0419999361038208
2019-12-01,-0.034999966621398926
2020-01-01,0.004999995231628418
2020-02-01,-0.2799999713897705
2020-03-01,-1.2000000197440386
2020-04-01,0.06000000424683094
2020-05-01,0.03800000250339508
2020-06-01,0.006999999284744263
2020-07-01,-0.0520000085234642
2020-08-01,0.012000001966953278
2020-09-01,-0.009999997913837433
2020-10-01,-0.0020000040531158447
2020-11-01,-0.007999993860721588
2020-12-01,-0.01000000536441803
2021-01-01,-0.016999997198581696
2021-02-01,-0.013000000268220901
2021-03-01,-0.02199999988079071
2021-04-01,-0.01000000024214387
2021-05-01,0.005000000353902578
2021-06-01,0.03199999872595072
2021-07-01,0.0
2021-08-01,0.0
2021-09-01,-0.011999998241662979
2021-10-01,0.019999999552965164
2021-11-01,0.0
2021-12-01,-0.015000000596046448
2022-01-01,0.13999999314546585
2022-02-01,0.11499999463558197
2022-03-01,0.20500001311302185
2022-04-01,0.3150000274181366
2022-05-01,0.22199994325637817
2022-06-01,0.5700000524520874
2022-07-01,0.6980000734329224
2022-08-01,0.5619997978210449
2022-09-01,0.32000017166137695
2022-10-01,0.7949998378753662
2022-11-01,0.2779998779296875
2022-12-01,0.007000446319580078
2023-01-01,0.309999942779541
2023-02-01,0.1399998664855957
2023-03-01,-0.125
2023-04-01,0.3379998207092285
2023-05-01,0.3250002861022949
2023-06-01,-0.0950002670288086
2023-07-01,0.0950002670288086
2023-08-01,0.04999971389770508
2023-09-01,0.0020003318786621094
2023-10-01,0.019999980926513672
2023-11-01,-0.0820002555847168
2023-12-01,-0.05800008773803711
2024-01-01,0.008000373840332031
2024-02-01,0.034999847412109375
2024-03-01,-0.019999980926513672
2024-04-01,0.04199981689453125
2024-05-01,-0.006999969482421875
2024-06-01,0.0
2024-07-01,0.0
2024-08-01,0.0
2024-09-01,0.0
2024-10-01,0.0
2024-11-01,0.0
2024-12-01,0.0
2025-01-01,0.0
2025-02-01,0.0
2025-03-01,0.0
2025-04-01,0.0
2025-05-01,0.0
2025-06-01,0.0
2025-07-01,0.0
2025-08-01,0.0
2025-09-01,0.0
2025-10-01,0.0
