Date,Ret_HashRate
2015-12-01,30.918237705231434
2016-01-01,29.013126888855155
2016-02-01,33.38858944902623
2016-03-01,5.471404870240892
2016-04-01,8.607689208170433
2016-05-01,8.55938152025204
2016-06-01,6.140362079948258
2016-07-01,1.8714558506675694
2016-08-01,3.512506485355038
2016-09-01,9.292860767066745
2016-10-01,7.309994807693609
2016-11-01,8.39240382763251
2016-12-01,12.011321950636301
2017-01-01,20.433462161448148
2017-02-01,16.648072800753113
2017-03-01,11.853050114096497
2017-04-01,7.259618784637656
2017-05-01,12.782940210641037
2017-06-01,20.10131073585515
2017-07-01,17.108718698330815
2017-08-01,7.3675264123149065
2017-09-01,19.240201305713466
2017-10-01,20.976533543205367
2017-11-01,5.592538144636983
2017-12-01,33.039000160880086
2018-01-01,34.851015575983446
2018-02-01,26.023353561872597
2018-03-01,12.802278520999932
2018-04-01,12.306453455064425
2018-05-01,11.440476689928335
2018-06-01,19.67229458284676
2018-07-01,4.830539852107507
2018-08-01,22.941589670836173
2018-09-01,6.084321727658026
2018-10-01,2.204551585993908
2018-11-01,-9.801750999176706
2018-12-01,-18.65396015811229
2019-01-01,10.171445422565984
2019-02-01,4.16897357974193
2019-03-01,2.6912456860402
2019-04-01,1.4781861306852218
2019-05-01,9.870237206198262
2019-06-01,8.991548479698697
2019-07-01,19.97515295350616
2019-08-01,13.0761951202655
2019-09-01,18.471229793747646
2019-10-01,8.969049625385717
2019-11-01,-3.8726548409404815
2019-12-01,3.4097346346747326
2020-01-01,12.502341051027678
2020-02-01,4.206627601718993
2020-03-01,-2.779008383489534
2020-04-01,2.6634633839786703
2020-05-01,-3.262022645628404
2020-06-01,2.6365155235947624
2020-07-01,10.662002778725089
2020-08-01,1.274379444774154
2020-09-01,7.440037696201585
2020-10-01,2.166972050685012
2020-11-01,-5.909200342042564
2020-12-01,5.570409498779827
2021-01-01,10.660247561787495
2021-02-01,3.9216953567176027
2021-03-01,2.4508747500110672
2021-04-01,0.7605137411995866
2021-05-01,1.6482774606620287
2021-06-01,-21.204016208352716
2021-07-01,-24.360407488529646
2021-08-01,22.711802970683472
2021-09-01,13.988617074545973
2021-10-01,9.051083744152887
2021-11-01,9.018877300441442
2021-12-01,6.349869707730127
2022-01-01,8.402297094224664
2022-02-01,6.511056076817945
2022-03-01,1.8051111311135903
2022-04-01,2.840547321030984
2022-05-01,6.15659277016638
2022-06-01,-3.3545672221647616
2022-07-01,-3.260953126169752
2022-08-01,1.453801072071803
2022-09-01,8.728769560455207
2022-10-01,13.249482591944052
2022-11-01,2.0303175284064556
2022-12-01,-5.220933073588851
2023-01-01,8.822060345596473
2023-02-01,8.617170948958508
2023-03-01,11.821596572150582
2023-04-01,4.901054861475029
2023-05-01,3.0177499381162542
2023-06-01,4.655646921413625
2023-07-01,1.3827030090247439
2023-08-01,2.748365366407546
2023-09-01,4.421220706756923
2023-10-01,9.613302312469528
2023-11-01,7.080597427291702
2023-12-01,6.048415079753289
2024-01-01,3.159252837670201
2024-02-01,10.063193744413867
2024-03-01,4.692291944441296
2024-04-01,4.635992708304948
2024-05-01,-3.4476825708918524
2024-06-01,-3.7971138674100846
2024-07-01,4.185232995337107
2024-08-01,4.329068985123352
2024-09-01,2.225131715129991
2024-10-01,6.966881641342204
2024-11-01,7.091391705392791
2024-12-01,3.4648417185258573
2025-01-01,2.6850480651614994
2025-02-01,2.7745320500464965
2025-03-01,1.6385349479988376
2025-04-01,6.0413000518865445
2025-05-01,1.6841815163734397
2025-06-01,0.20841391871380122
2025-07-01,2.2985490943348674
2025-08-01,3.9336136204350725
2025-09-01,8.238368688645604
2025-10-01,6.221567664046979
