Date,Prev_RSI_BTC,Prev_RSI_SPX,Prev_RSI_NDX,Prev_DXY_Trend,Prev_Rate_Trend,Prev_BTC_AG,Prev_BTC_AL,Prev_SPX_AG,Prev_SPX_AL,Prev_NDX_AG,Prev_NDX_AL,Prev_RSI_GLD,Prev_RSI_TLT,Prev_RSI_USDT,Prev_GLD_AG,Prev_GLD_AL,Prev_TLT_AG,Prev_TLT_AL,Prev_USDT_AG,Prev_USDT_AL,Prev_Active_Addresses
2015-12-01,49.15009754070422,56.907206525723105,64.41061474581869,3.220001220703125,0.10199999809265137,19.874998910086497,20.562355041503906,31.813563755580358,24.090715680803573,2.4480879647391185,1.3526644025530135,35.959910366218494,57.84473541217507,100.0,1.3071425301688058,2.327856881277902,1.7444594247000558,1.2713023594447546,0.0,0.0,323984.71428571426
2016-01-01,53.826906670316156,54.18795268307253,61.89828321101318,-1.5400009155273438,-0.02199999988079071,22.258639822200852,19.0936153956822,29.541166344467477,24.97494818239796,2.2732245386863243,1.399291758634606,35.61323680830097,57.168162459540426,100.0,1.2137752065853196,2.1944384672203845,1.6198551800786232,1.2136365929428412,0.0,0.0,387068.625
2016-02-01,48.27699504684489,47.271134917892,54.10019919519859,0.9800033569335938,0.15200001001358032,20.668736977757934,22.144070566916955,27.431083034148372,30.598162681646322,2.110851357351587,1.7908927928602034,42.71175248433334,62.78336238709442,100.0,1.5192196820984774,2.0376928624189286,1.9011282545484536,1.1269482648754954,0.0,0.0,382680.625
2016-03-01,53.976893296119,46.77448339967647,52.528129362841796,-1.4000015258789062,0.007999986410140991,24.115969527616745,20.5623512407086,25.471719960280634,28.984723187644796,1.9600762603979018,1.7714030139896086,54.27227911958482,65.27957436357028,100.0,2.2457041649061753,1.8921433722461478,1.9674856314208298,1.0464519602415314,0.0,0.0,431287.0
2016-04-01,52.09618070918954,54.89805362618417,57.93845023639969,-3.6200027465820312,-0.11499999463558197,22.393400275644122,20.591325227839906,32.760169232090945,26.91438581709874,2.2657620581694244,1.644874227276065,53.281764787069406,65.12321949626775,100.0,2.085296724555734,1.828418845657137,1.826950943462199,0.978424708407873,0.0,0.0,381738.25
2016-05-01,54.6592867144109,55.21900597342176,54.762003299112145,-1.5099945068359375,0.0,23.05022806008472,19.1205162829942,30.817304186495164,24.991929687305973,2.1039219111573226,1.7380155352608104,58.217343297566195,63.79617570647277,100.0,2.3656328253896435,1.69781749953877,1.6964544475006136,0.9627244589373329,0.0,0.0,385227.85714285716
2016-06-01,60.62544484245382,57.09086327765826,58.35978585310886,2.80999755859375,0.08999998867511749,27.337211281797416,17.754765119923185,30.87677548344194,23.206791852498405,2.261880757800382,1.6138715684564668,50.903416230258074,64.62532455566078,100.0,2.196659052147526,2.118687961520655,1.6331557167360609,0.8939584261560949,0.0,0.0,383580.875
2016-07-01,68.3014491080838,57.207123644931634,55.479966949560385,0.25,-0.034999996423721313,35.523909673778405,16.48656761135724,28.8077312524818,21.549163863034234,2.1003178465289265,1.6854051126041074,58.58796509625373,70.82208346135928,100.0,2.7833265242876584,1.9673531071263226,2.0148701364530166,0.830104252859231,0.0,0.0,421250.125
2016-08-01,63.716311780965086,61.592136666464675,61.34662327208372,-0.6100006103515625,-0.008000001311302185,32.986487554222805,18.78438026941878,32.088606894045604,20.009937872817506,2.4838355964350636,1.5650190331323854,60.20529624396388,72.5214855070571,100.0,2.7638028087553925,1.826827885188728,2.0343299652247877,0.7708110919407145,0.0,0.0,365532.28571428574
2016-09-01,59.375011281564845,61.35207093978374,62.16128404394053,0.48999786376953125,0.07999999821186066,30.630309871778316,20.957570636614314,29.79656354447092,18.76995277364304,2.3873633743543223,1.453231959337215,56.24679277255499,70.3740223919214,100.0,2.5663883224157216,1.996339961121118,1.8890206819944457,0.7952378238989112,0.0,0.0,386850.75
2016-10-01,61.349650595288104,61.092752676088324,63.71319111067237,-0.55999755859375,-0.06000000238418579,30.8897877729571,19.460601305427577,27.66823757700871,17.62066554985604,2.369358824944527,1.3494296765274139,56.87209384599485,67.2130939652869,100.0,2.4445034858397103,1.8537442496124665,1.7540906332805568,0.8556547746402278,0.0,0.0,402219.75
2016-11-01,66.0779684610495,57.01392501124891,61.98771072493099,2.9899978637695312,0.034999996423721313,35.20030289715436,18.070558355039893,25.69193489293666,19.370626381116324,2.200118908877061,1.3491634942754556,53.34009650761443,59.04429219485596,100.0,2.2698960939940167,1.9856194423717324,1.6287984451890885,1.1298059594734036,0.0,0.0,438064.0
2016-12-01,68.1355870626154,61.757282411483175,62.37815305110572,3.0500030517578125,0.1730000078678131,35.88020941454512,16.77980418682276,29.046807847012616,17.987010211036587,2.0771712238400832,1.2527946732557802,45.04332391563245,47.80706041342802,100.0,2.1077606587087296,2.571646799445627,1.5124556991041536,1.6512102657652028,0.0,0.0,482996.375
2017-01-01,75.83318437353647,64.10658262486044,63.161156777529484,0.8899993896484375,0.01199999451637268,48.89248031015797,15.581246744906847,29.830608681601,16.702223767391114,1.9945241799845974,1.163309339451796,43.51260816789966,47.017579347195166,100.0,1.9572063259438204,2.5408148416029706,1.4044231491681425,1.5825939807384473,0.0,0.0,499069.0
2017-02-01,76.02370082265968,66.33487359748977,67.9022705039607,-2.8799972534179688,0.02000001072883606,45.87587701512437,14.468300548842072,30.55985370880807,15.509207784006035,2.285180529537874,1.080215815205239,48.72162793481071,48.60323210705527,100.0,2.2416917627625654,2.359328067202758,1.3896779540475943,1.469551553542844,0.0,0.0,476039.5714285714
